ID,Car_make_id,Model_id,Fuel_type_id,Color_id,Body_style_id,Transmission_id,Options_id,Damage_id,Year,Mileage,Horsepower,Website_post_date,Sell_date,Num_of_prev_owners,Estimated_price
49,1,3,5,2,6,1,3,4,2019,15443,349,2023-08-10,2024-01-03,3,57817
50,4,15,1,1,7,1,3,3,2010,112671,325,2023-06-01,2023-11-27,4,64985
51,6,21,5,6,8,1,1,3,2007,24251,203,2023-03-01,2024-01-30,5,32025
52,2,8,2,6,4,1,2,2,2019,53316,456,2023-07-07,2023-12-05,1,71307
53,4,16,1,6,3,1,3,2,2014,170977,450,2023-03-09,2023-12-13,1,115695
54,3,11,1,3,3,1,1,4,2016,187707,182,2023-01-08,2024-01-15,3,64787
55,3,9,2,6,8,1,2,1,2003,133803,170,2023-04-26,2024-01-26,1,34074
56,1,2,3,6,3,1,4,3,2011,141643,335,2023-04-01,2024-01-27,2,106114
57,6,22,5,1,5,1,4,2,2015,102677,139,2023-11-01,2023-12-09,1,13903
58,4,14,5,1,7,1,2,4,2004,157489,400,2022-12-30,2024-02-10,4,9302
59,5,17,5,3,5,1,1,4,2006,192812,255,2023-05-28,2023-12-17,5,116601
60,3,10,5,2,3,2,1,2,2023,192086,305,2023-02-26,2024-02-07,2,94133
61,2,8,2,2,4,1,2,3,2002,12987,456,2023-09-28,2024-01-25,2,64443
62,5,19,4,4,7,1,3,4,2022,124321,255,2023-04-16,2023-11-16,5,26296
63,4,14,4,6,4,1,1,1,2000,13703,400,2023-10-17,2023-12-25,4,15071
64,3,11,4,2,3,1,3,2,2019,21169,250,2023-09-24,2023-11-24,3,37789
65,5,18,5,2,1,1,1,2,2015,161583,385,2023-09-10,2023-12-31,5,98241
66,6,24,4,2,1,1,2,3,2008,172175,219,2023-08-22,2024-01-14,1,68502
67,6,23,1,4,3,1,3,1,2006,146020,121,2023-04-04,2023-12-12,3,83639
68,5,20,4,6,6,1,4,2,2000,55767,463,2023-11-10,2024-01-24,4,24267
69,5,20,2,4,8,1,4,3,2014,69142,362,2023-05-03,2023-12-29,2,12712
70,3,12,1,4,4,1,2,2,2015,115228,285,2022-12-14,2024-01-18,3,84079
71,6,24,2,3,1,1,3,4,2006,27708,219,2023-06-01,2024-01-15,3,57736
72,1,3,5,3,2,1,3,3,2023,187457,261,2023-01-26,2024-01-27,2,90507
73,6,22,5,2,6,1,4,1,2020,73253,169,2023-03-11,2024-02-04,5,69133
74,4,15,5,6,1,1,4,2,2018,42996,325,2022-11-30,2023-12-16,1,49712
75,5,18,4,3,5,1,4,4,2022,44902,255,2023-09-17,2023-12-19,1,47625
76,6,24,3,5,8,1,3,3,2001,13280,203,2023-03-20,2023-11-18,1,62414
77,2,5,4,2,2,1,1,4,2017,103862,255,2023-01-27,2023-11-24,2,5327
78,3,9,1,3,8,1,3,4,2003,19804,170,2023-10-04,2023-11-25,3,45977
79,2,8,4,2,8,1,4,4,2001,27531,335,2023-11-10,2023-12-19,2,86798
80,2,7,1,3,5,1,3,1,2017,90403,248,2023-08-04,2024-02-08,2,91091
81,6,23,2,1,4,1,2,3,2015,176839,121,2023-05-08,2023-11-18,1,25289
82,4,15,3,2,3,1,1,1,2008,11272,188,2022-12-22,2023-11-28,2,97106
83,5,17,1,6,2,1,2,4,2015,113761,255,2023-08-27,2024-01-20,2,67828
84,2,8,3,3,2,1,1,2,2017,31764,456,2023-05-28,2024-02-13,4,59842
85,6,22,2,3,8,1,1,4,2011,43846,169,2023-01-19,2024-01-22,2,50867
86,6,21,2,6,5,1,2,4,2000,53148,203,2023-08-27,2024-02-09,1,46791
87,3,9,2,3,1,1,3,2,2013,27378,252,2023-07-08,2024-01-14,4,57801
88,3,9,1,1,2,1,2,1,2009,69325,252,2023-08-23,2024-02-02,3,98955
89,6,24,1,5,6,1,4,4,2010,11797,219,2023-01-17,2024-02-07,5,23735
90,3,11,2,2,1,1,1,2,2010,66086,250,2023-07-24,2023-12-30,2,26280
91,3,12,2,6,5,1,3,3,2002,40710,285,2023-01-29,2023-12-13,3,79393
92,1,3,2,5,6,2,4,4,2006,128629,349,2023-05-29,2024-01-24,5,65782
93,4,15,4,3,8,1,1,3,2005,125066,188,2023-01-18,2023-12-03,2,64428
94,2,6,5,6,7,1,2,4,2008,17189,335,2023-03-10,2024-02-06,2,117478
95,2,5,4,4,5,1,2,1,2014,31262,255,2023-10-03,2023-12-09,1,32469
96,1,4,2,2,8,1,1,3,2004,13345,335,2023-04-09,2024-02-10,4,109105
97,3,12,2,3,8,1,3,4,2012,32314,355,2023-10-19,2023-12-04,3,79448
98,5,18,2,1,1,2,4,4,2023,182310,385,2022-12-12,2023-11-24,3,57604
99,6,23,5,1,2,1,4,1,2022,184386,121,2023-02-14,2024-01-14,3,20572
100,4,16,3,5,1,1,2,3,2002,139859,300,2023-10-21,2023-12-08,2,72202
101,6,22,4,6,6,1,4,3,2001,84984,169,2023-01-09,2024-02-03,5,117792
102,2,7,2,2,1,1,3,1,2006,17798,382,2023-10-26,2023-12-21,5,105961
103,6,24,2,2,2,1,1,3,2008,142937,219,2023-10-07,2024-01-19,3,72994
104,6,22,1,5,2,1,1,3,2016,28733,139,2023-05-12,2024-02-02,2,11464
105,4,13,2,3,6,1,1,3,2005,69719,300,2023-03-06,2023-12-21,5,11099
106,5,19,2,3,1,1,4,3,2020,44043,255,2022-12-16,2024-01-23,1,9858
107,4,16,4,1,7,1,4,1,2005,26064,300,2023-04-23,2023-12-25,4,85921
108,4,14,2,3,1,1,3,1,2007,92179,400,2023-11-03,2024-01-02,1,27447
109,3,11,2,6,4,1,3,3,2005,166552,250,2022-11-27,2023-12-15,3,92653
110,4,16,1,5,3,1,2,3,2009,18017,300,2022-12-10,2023-11-28,5,115468
111,6,21,1,6,1,1,2,4,2019,69679,301,2023-04-21,2024-02-07,5,49806
112,1,1,2,2,7,1,3,1,2007,37142,261,2023-08-25,2024-01-17,5,5414
113,5,20,4,5,7,1,2,3,2016,199900,463,2023-01-13,2023-11-28,1,65879
114,6,23,1,2,5,1,1,1,2017,121044,121,2022-12-22,2023-12-07,3,85105
115,6,22,1,3,3,1,1,2,2011,149268,169,2023-09-28,2024-01-21,3,40018
116,2,6,4,1,4,1,4,4,2005,163262,335,2023-06-15,2023-11-23,1,29833
117,4,15,3,1,1,1,2,2,2021,11220,188,2023-10-03,2023-12-28,5,12189
118,6,21,5,5,7,1,1,3,2008,190163,301,2022-11-26,2023-11-27,4,71063
119,6,24,3,4,4,1,1,2,2004,67786,219,2023-07-15,2024-01-08,5,33614
120,1,1,3,2,7,1,4,1,2007,42795,261,2023-11-02,2023-11-25,2,42743
121,4,13,1,1,1,1,3,4,2004,42738,300,2023-03-16,2023-12-01,3,44377
122,6,21,5,2,6,1,3,3,2004,52451,203,2023-04-15,2024-01-09,1,8616
123,5,18,4,6,8,1,2,4,2018,136520,255,2023-03-13,2024-01-12,2,116965
124,1,2,2,2,7,1,4,1,2009,21144,248,2022-12-22,2023-12-03,1,38434
125,6,22,3,4,7,1,1,1,2008,139337,139,2023-10-31,2023-12-18,1,21062
126,5,18,1,6,3,1,1,1,2007,107240,385,2023-09-09,2024-01-22,1,74342
127,2,6,3,4,8,1,3,1,2023,102328,335,2023-11-05,2024-01-08,1,82105
128,5,18,1,4,4,1,4,3,2011,38641,255,2023-10-27,2024-01-10,5,63135
129,4,15,4,2,3,1,2,2,2009,183218,325,2023-05-14,2023-11-24,2,86787
130,1,2,5,1,3,1,3,1,2006,85880,248,2023-06-26,2023-11-24,5,82917
131,5,17,2,3,2,1,4,1,2018,18610,255,2023-08-29,2023-11-18,4,78214
132,6,23,2,6,5,1,2,1,2005,91948,121,2023-10-13,2024-01-31,3,61365
133,3,12,3,6,8,1,2,3,2018,30436,355,2023-03-12,2024-02-06,2,49080
134,1,3,1,3,5,1,4,4,2006,150121,261,2023-10-27,2024-01-10,2,39104
135,4,13,3,5,4,1,4,3,2002,165536,300,2023-08-22,2023-12-19,3,112621
136,5,20,3,1,4,1,3,2,2016,152081,362,2022-11-16,2023-12-03,4,8206
137,1,3,4,6,6,1,4,2,2011,78741,349,2023-06-26,2024-01-15,1,20060
138,2,5,5,4,2,1,2,2,2004,129395,255,2023-09-06,2023-12-06,3,72141
139,2,6,5,2,8,1,1,2,2012,112708,248,2023-04-16,2023-11-28,1,110444
140,4,15,3,6,3,1,1,3,2017,112781,325,2023-03-23,2023-12-08,1,99361
141,2,7,5,2,2,1,1,1,2014,105767,382,2023-07-29,2023-11-27,4,93501
142,6,24,4,3,6,1,3,1,2003,180581,219,2023-06-23,2023-12-16,2,39510
143,5,17,1,4,2,1,2,2,2010,194719,362,2023-04-18,2023-12-05,5,36528
144,4,13,5,5,6,1,4,3,2009,140812,290,2023-07-12,2023-12-26,4,75053
145,6,23,2,3,7,1,3,1,2005,25926,121,2023-01-06,2023-12-06,5,16736
146,1,4,3,6,1,1,2,1,2016,167201,335,2023-05-11,2023-11-30,3,93791
147,4,15,1,4,5,1,1,4,2005,19446,188,2023-09-29,2024-01-17,5,38635
148,3,11,3,1,8,1,1,4,2015,19782,182,2023-08-23,2024-01-20,5,116393
149,3,9,4,2,6,1,2,3,2014,146781,252,2022-12-24,2024-02-13,2,51342
150,6,22,3,3,1,1,2,1,2011,143793,169,2023-02-10,2024-01-16,3,93778
151,5,20,1,1,3,1,4,1,2020,39498,362,2022-11-29,2023-12-07,4,99242
152,4,16,5,4,7,1,1,1,2019,78588,450,2023-05-07,2023-11-16,2,107640
153,6,23,3,5,3,1,2,1,2015,82817,121,2023-05-31,2024-02-03,1,106554
154,1,4,4,3,7,1,2,2,2003,113310,335,2022-11-17,2023-11-20,5,93117
155,5,19,1,6,3,1,3,1,2021,174931,255,2022-12-21,2023-11-26,1,26738
156,3,12,2,4,8,2,1,1,2012,163784,355,2023-10-14,2024-01-13,3,27262
157,6,21,2,2,8,2,2,3,2007,83806,301,2023-09-21,2023-11-28,1,47692
158,3,12,5,3,7,1,2,2,2020,75456,355,2023-08-03,2024-01-06,5,10761
159,6,22,3,1,6,1,2,2,2020,150888,139,2023-09-03,2023-12-18,2,21365
160,3,12,4,6,6,1,2,3,2023,149978,355,2023-09-07,2023-11-28,2,106510
161,1,4,3,5,3,1,3,1,2011,107161,335,2023-04-20,2024-01-15,3,23478
162,2,6,3,6,2,1,2,2,2010,106171,335,2023-07-11,2023-12-16,1,83917
163,5,18,1,5,2,1,3,3,2007,191096,385,2023-09-02,2024-01-13,4,30142
164,1,3,5,1,8,1,2,1,2001,143712,349,2023-05-31,2023-11-28,5,46694
165,1,3,4,6,8,1,4,2,2023,153560,261,2023-03-09,2024-02-08,4,110001
166,2,8,5,2,7,1,1,4,2003,193860,456,2022-12-01,2024-01-13,1,55816
167,3,10,1,4,5,1,4,1,2014,140493,305,2023-09-12,2023-11-17,5,60197
168,6,24,1,1,4,1,2,4,2007,44300,219,2023-10-03,2023-12-21,5,95782
169,6,23,3,5,6,1,4,4,2012,62413,121,2022-12-10,2024-02-08,1,89014
170,1,2,5,1,2,1,4,2,2003,198095,248,2023-03-11,2024-02-07,2,107871
171,6,22,4,4,1,1,2,4,2000,142990,139,2023-01-13,2023-12-04,3,77875
172,4,13,5,5,3,1,1,4,2002,85080,300,2023-04-21,2023-12-17,1,68978
173,4,14,4,6,1,1,4,4,2004,47439,400,2023-03-01,2024-01-29,2,86005
174,5,18,3,4,5,1,2,2,2008,133192,255,2023-11-08,2023-11-24,3,108742
175,3,12,5,1,2,2,4,2,2016,78963,355,2023-05-14,2024-02-04,5,119235
176,6,21,4,2,8,1,3,1,2011,100901,208,2023-06-28,2024-01-23,1,32040
177,2,8,4,5,7,1,4,2,2014,145636,335,2022-12-29,2024-01-12,5,19303
178,5,19,1,5,3,1,1,4,2004,88437,255,2023-10-14,2024-01-10,1,102811
179,2,7,1,3,2,1,4,3,2000,132758,382,2023-09-02,2024-01-27,4,20938
180,1,3,2,3,4,1,3,4,2010,81127,349,2023-01-06,2023-12-24,5,36855
181,2,8,2,5,8,1,1,2,2022,30438,456,2023-01-04,2023-11-16,2,71544
182,4,13,4,4,7,1,2,3,2006,34128,290,2022-11-17,2023-11-23,2,81429
183,4,14,2,1,2,1,3,1,2012,69232,400,2023-04-03,2024-01-26,5,43299
184,3,9,4,1,8,1,1,1,2000,112042,170,2023-09-13,2023-12-17,1,50674
185,4,14,5,6,5,1,1,2,2003,45419,400,2022-12-30,2023-12-17,4,65121
186,1,2,4,6,3,1,2,4,2011,64169,335,2023-02-24,2023-11-30,1,33983
187,5,17,1,6,8,1,2,2,2017,84480,362,2023-07-28,2024-01-28,1,61333
188,1,1,2,2,1,1,3,1,2023,21663,261,2023-02-04,2024-02-11,1,56080
189,2,7,1,6,2,1,4,1,2000,126065,248,2022-12-05,2023-12-18,2,100652
190,1,2,1,2,2,1,4,4,2012,138264,248,2023-07-29,2023-12-24,5,53559
191,5,20,1,1,5,1,4,4,2016,68812,362,2023-01-28,2023-11-16,3,31119
192,5,18,5,5,1,1,4,1,2011,195261,385,2023-10-08,2024-01-19,4,54188
193,4,16,3,1,1,1,1,4,2010,197697,450,2022-11-20,2024-02-06,4,61774
194,6,21,2,3,4,1,4,1,2002,15488,203,2023-04-01,2023-12-20,5,83683
195,5,19,2,6,6,1,1,1,2020,58676,362,2022-11-16,2024-01-23,3,56055
196,4,13,5,4,1,1,1,3,2023,83651,300,2023-09-28,2023-11-21,3,14607
197,3,9,2,6,3,1,2,1,2013,129772,252,2023-04-05,2023-12-03,1,77251
198,6,22,5,3,6,1,3,2,2001,189274,139,2023-08-14,2024-02-12,5,63628
199,6,21,1,5,4,1,3,3,2012,85580,301,2022-12-13,2024-01-14,2,75616
200,5,20,1,6,5,1,2,1,2003,189022,362,2023-07-07,2024-01-19,2,69739
201,6,22,3,6,4,1,2,2,2011,159499,169,2023-05-29,2024-02-08,4,7933
202,1,2,4,5,1,1,2,3,2000,22126,335,2023-05-31,2024-01-13,4,115313
203,6,21,4,3,4,1,4,2,2017,45915,208,2023-09-14,2024-01-19,3,4044
204,4,14,4,6,8,1,2,1,2023,199652,400,2023-05-20,2023-12-18,5,23359
205,1,2,5,3,8,1,3,3,2019,34914,248,2023-06-25,2024-01-16,1,97391
206,3,11,1,2,2,1,2,3,2020,36215,182,2023-10-14,2024-01-22,5,82611
207,3,12,4,5,6,1,1,1,2020,152478,285,2023-05-03,2023-12-13,2,89776
208,6,21,3,4,5,1,3,3,2017,32892,203,2023-08-02,2023-12-13,1,111835
209,4,13,3,6,3,1,2,1,2018,175350,300,2023-05-30,2024-01-12,1,113914
210,2,5,3,3,6,1,1,2,2001,102054,382,2023-07-18,2023-11-21,1,48506
211,4,13,2,5,1,1,3,3,2022,127375,300,2023-01-20,2024-01-03,3,85403
212,4,15,3,5,3,1,4,2,2013,180402,325,2023-04-30,2023-11-17,4,26397
213,1,2,5,6,1,2,1,4,2016,31750,335,2022-12-12,2023-12-22,1,112429
214,5,20,3,6,3,1,2,1,2023,106059,362,2023-06-15,2023-11-25,4,97875
215,6,22,4,1,8,1,3,1,2018,45382,139,2023-06-08,2024-02-13,1,55825
216,2,6,4,6,4,1,3,4,2010,19991,335,2023-05-24,2023-11-24,3,62462
217,4,16,1,2,7,1,4,4,2009,188752,450,2023-07-20,2024-01-13,1,98827
218,4,16,1,2,2,1,3,1,2012,131585,300,2022-12-07,2024-01-30,4,111987
219,4,16,3,1,2,1,1,1,2012,78682,450,2023-11-02,2023-11-29,4,30419
220,2,8,4,1,7,1,2,1,2017,90795,456,2023-09-21,2023-12-27,4,14821
221,2,7,1,2,4,1,3,1,2010,194447,248,2023-07-02,2024-01-30,2,83401
222,6,24,3,6,8,1,4,2,2013,112911,219,2023-06-03,2024-01-30,5,14997
223,3,12,1,3,5,1,4,2,2013,137432,355,2023-05-26,2023-12-03,4,53293
224,6,21,2,2,4,1,2,3,2006,13571,208,2022-12-06,2023-11-17,4,26233
225,4,13,4,6,8,1,3,1,2001,50641,290,2023-11-13,2024-01-08,3,103199
226,5,18,2,3,4,1,3,4,2023,80013,385,2023-08-12,2024-02-13,5,23461
227,4,13,1,4,5,1,3,3,2021,55447,300,2023-10-05,2023-11-29,1,5677
228,2,5,2,2,6,1,4,4,2006,138651,255,2023-09-25,2023-12-22,1,94113
229,5,18,4,5,6,1,1,2,2021,173249,255,2022-11-26,2023-12-22,3,71062
230,3,11,3,6,8,1,1,2,2023,80195,250,2022-12-20,2024-01-03,1,39155
231,6,22,2,1,2,1,1,2,2022,163944,169,2023-10-03,2023-12-19,4,5191
232,1,1,1,5,8,1,3,1,2018,89276,261,2022-12-18,2023-12-31,2,25534
233,3,12,3,4,1,1,3,2,2018,83293,355,2023-09-03,2023-12-10,5,25461
234,1,3,3,2,1,1,4,1,2004,88132,261,2023-04-14,2023-12-31,3,52212
235,2,7,2,6,2,1,1,2,2016,149448,248,2023-02-24,2023-11-19,3,6594
236,4,15,2,2,6,2,1,1,2010,139438,325,2023-03-10,2024-01-06,4,23750
237,5,19,4,4,6,1,1,3,2014,131469,362,2023-09-29,2023-12-29,1,24724
238,4,14,5,6,8,1,2,4,2023,34145,400,2023-07-18,2024-01-12,3,37842
239,2,8,2,1,3,1,1,3,2023,67281,456,2023-01-07,2023-12-22,3,90714
240,1,4,1,3,6,1,2,2,2008,85040,335,2022-11-27,2024-01-23,2,7529
241,5,20,4,2,3,1,1,4,2010,125181,463,2023-09-23,2024-02-05,2,63305
242,3,12,2,5,1,1,1,1,2008,67904,285,2023-04-16,2024-01-06,2,46982
243,3,12,4,4,1,1,1,4,2019,175086,355,2023-05-29,2024-01-13,5,48360
244,6,22,5,5,1,1,3,2,2021,95351,139,2023-11-01,2023-12-23,4,63236
245,4,16,4,4,5,1,2,3,2023,80386,450,2022-12-18,2023-12-18,2,74638
246,4,15,5,1,6,1,4,2,2017,51710,325,2023-01-11,2023-11-16,1,118021
247,1,2,5,4,2,1,1,1,2020,157712,248,2023-02-18,2024-01-21,1,57089
248,1,1,4,2,5,1,2,2,2013,169064,261,2023-09-02,2023-12-12,5,99415
249,4,16,4,4,7,1,1,3,2014,181999,450,2023-04-15,2023-11-28,2,53675
250,6,21,2,6,4,1,3,2,2015,149963,301,2023-03-20,2023-12-02,3,12541
251,6,22,5,4,6,1,2,3,2008,22519,169,2023-02-07,2023-12-21,4,104065
252,1,4,3,3,3,1,4,4,2005,167789,335,2023-06-17,2024-02-09,3,41263
253,3,9,4,3,4,1,3,4,2007,140736,170,2023-05-08,2024-01-03,2,31506
254,2,6,4,1,1,1,3,4,2007,195359,248,2023-03-15,2024-02-03,2,102301
255,1,2,5,5,7,1,2,2,2007,124288,248,2023-01-02,2024-01-05,2,42345
256,1,1,4,2,7,1,3,1,2009,139386,261,2023-04-10,2023-11-25,2,25788
257,1,3,5,1,8,1,3,3,2001,143395,261,2023-03-05,2024-01-22,1,91579
258,3,11,5,6,5,1,3,2,2008,63525,250,2023-08-21,2023-12-26,4,20994
259,4,15,5,6,4,1,4,4,2015,192211,325,2023-06-28,2023-12-29,3,35782
260,6,23,2,1,6,1,2,2,2003,165249,121,2023-08-25,2024-02-07,5,56152
261,1,1,2,6,2,1,1,3,2023,103997,261,2023-03-11,2024-01-15,4,55991
262,3,9,3,3,1,1,2,2,2007,34225,170,2023-01-04,2024-01-02,2,76426
263,2,5,2,5,7,1,3,1,2023,108209,255,2022-12-07,2024-01-28,3,119193
264,6,24,2,1,7,1,1,3,2020,138479,203,2023-02-17,2024-01-19,3,84220
265,3,11,3,6,6,1,3,4,2005,169482,182,2023-04-08,2024-01-21,1,57225
266,3,11,4,5,2,1,1,1,2004,189647,250,2022-12-26,2024-01-28,4,98172
267,2,8,4,3,2,1,1,3,2002,46367,335,2023-09-02,2024-01-13,2,83255
268,2,5,1,5,4,1,4,1,2015,123779,255,2023-07-25,2023-12-02,2,5376
269,5,20,5,5,3,1,3,2,2023,196449,362,2023-10-08,2024-01-07,1,50589
270,1,1,5,1,4,2,1,2,2000,50669,261,2022-12-08,2023-12-24,4,23956
271,6,21,5,1,8,1,4,3,2009,86192,301,2023-11-08,2024-01-10,5,31144
272,6,23,1,6,3,1,3,1,2014,196216,121,2022-12-14,2023-11-26,1,96014
273,1,1,2,1,1,1,3,3,2005,112388,261,2023-02-03,2024-01-24,4,65371
274,4,13,1,1,7,1,1,2,2009,36975,290,2023-03-27,2024-01-11,1,37945
275,3,11,2,2,1,1,3,4,2020,178469,250,2023-05-02,2023-12-07,1,99359
276,1,1,3,6,4,1,4,4,2020,96408,261,2023-04-04,2023-11-22,2,77201
277,3,9,2,2,7,1,4,1,2018,68220,252,2023-07-23,2024-01-08,3,90058
278,2,7,4,3,4,1,2,3,2021,75295,382,2023-06-04,2023-11-22,4,82414
279,3,11,3,2,3,1,4,1,2016,58356,182,2022-12-01,2024-01-30,5,35028
280,3,12,5,3,2,1,2,1,2021,146013,355,2023-01-15,2024-02-11,3,114229
281,6,23,2,1,1,1,4,1,2004,147739,121,2023-09-21,2023-12-03,1,65670
282,1,1,2,5,7,1,3,4,2009,185438,261,2023-01-07,2024-01-22,3,117432
283,5,19,3,4,4,1,4,3,2013,48040,362,2023-07-13,2024-01-29,1,26739
284,3,9,2,4,7,1,4,1,2017,87452,170,2022-12-24,2023-12-26,4,78115
285,6,23,1,6,5,1,4,3,2019,38080,121,2023-01-11,2024-01-23,1,11881
286,1,3,5,2,1,1,4,1,2009,177170,349,2023-05-22,2024-01-21,2,35239
287,2,7,2,3,4,1,2,3,2011,13531,248,2023-11-05,2023-12-29,5,71893
288,1,4,3,5,6,1,4,1,2008,99462,335,2023-01-26,2023-12-16,1,57232
289,5,19,1,6,1,1,3,2,2009,175259,362,2023-10-01,2024-01-16,3,15760
290,4,15,2,2,8,1,4,2,2018,190298,325,2023-04-11,2024-01-13,4,39026
291,5,17,5,4,1,1,2,4,2014,122934,255,2023-09-17,2024-02-12,5,24116
292,1,1,2,1,7,1,3,2,2022,15072,261,2023-10-21,2024-01-07,1,109457
293,6,24,5,1,1,1,4,3,2023,31646,203,2023-02-10,2024-01-11,4,111926
294,5,18,2,1,8,1,3,2,2021,97158,255,2023-09-12,2024-01-15,5,18089
295,2,5,1,6,1,1,1,4,2011,144252,255,2023-09-18,2023-12-15,5,101532
296,6,21,1,6,7,1,1,3,2006,40462,203,2023-11-02,2023-12-20,4,51500
297,5,17,3,4,6,1,3,4,2020,154622,362,2022-12-26,2024-02-03,3,99889
298,1,4,4,1,3,1,4,3,2019,177698,335,2023-08-26,2024-02-05,2,47444
299,3,12,1,2,7,1,2,4,2019,170650,355,2023-01-18,2024-01-17,2,100455
300,1,1,4,1,6,1,1,2,2003,110793,261,2023-03-22,2023-12-06,4,66452
301,5,18,5,6,6,1,1,3,2010,103080,385,2023-08-17,2024-01-30,2,107909
302,4,16,3,1,4,1,1,1,2010,100381,450,2023-07-10,2023-12-31,5,78311
303,3,10,1,2,8,1,4,1,2015,131783,305,2023-04-17,2023-11-20,2,76460
304,1,4,4,5,7,2,1,2,2004,151845,335,2023-10-29,2024-01-02,2,21373
305,6,22,3,3,2,1,4,2,2013,96059,139,2023-09-02,2023-12-07,2,10904
306,1,2,5,4,4,1,2,2,2021,199247,335,2023-05-19,2024-02-09,4,14553
