Car_make,Model,Mileage,Transmission,Year,Website_post_date,Sell_date,Options,Horsepower
Chevrolet,Equinox,133803,Automatic,2003,2023-04-26,2024-01-26,Advanced,170
Audi,A6,141643,Automatic,2011,2023-04-01,2024-01-27,Full,335
Toyota,Corolla,102677,Automatic,2015,2023-11-01,2023-12-09,Full,139
Ford,F-150,157489,Automatic,2004,2022-12-30,2024-02-10,Advanced,400
Mercedes-Benz,GLC,192812,Automatic,2006,2023-05-28,2023-12-17,Base,255
Chevrolet,Impala,192086,Manual,2023,2023-02-26,2024-02-07,Base,305
BMW,X5,12987,Automatic,2002,2023-09-28,2024-01-25,Advanced,456
Mercedes-Benz,E-Class,124321,Automatic,2022,2023-04-16,2023-11-16,Luxe,255
Ford,F-150,13703,Automatic,2000,2023-10-17,2023-12-25,Base,400
Chevrolet,Malibu,21169,Automatic,2019,2023-09-24,2023-11-24,Luxe,250
Mercedes-Benz,C-Class,161583,Automatic,2015,2023-09-10,2023-12-31,Base,385
Toyota,RAV4,172175,Automatic,2008,2023-08-22,2024-01-14,Advanced,219
Toyota,Prius,146020,Automatic,2006,2023-04-04,2023-12-12,Luxe,121
Mercedes-Benz,S-Class,55767,Automatic,2000,2023-11-10,2024-01-24,Full,463
Mercedes-Benz,S-Class,69142,Automatic,2014,2023-05-03,2023-12-29,Full,362
Chevrolet,Silverado,115228,Automatic,2015,2022-12-14,2024-01-18,Advanced,285
Toyota,RAV4,27708,Automatic,2006,2023-06-01,2024-01-15,Luxe,219
Audi,Q5,187457,Automatic,2023,2023-01-26,2024-01-27,Luxe,261
Toyota,Corolla,73253,Automatic,2020,2023-03-11,2024-02-04,Full,169
Ford,Fusion,42996,Automatic,2018,2022-11-30,2023-12-16,Full,325
Mercedes-Benz,C-Class,44902,Automatic,2022,2023-09-17,2023-12-19,Full,255
Toyota,RAV4,13280,Automatic,2001,2023-03-20,2023-11-18,Luxe,203
BMW,3 Series,103862,Automatic,2017,2023-01-27,2023-11-24,Base,255
Chevrolet,Equinox,19804,Automatic,2003,2023-10-04,2023-11-25,Luxe,170
BMW,X5,27531,Automatic,2001,2023-11-10,2023-12-19,Full,335
BMW,X3,90403,Automatic,2017,2023-08-04,2024-02-08,Luxe,248
Toyota,Prius,176839,Automatic,2015,2023-05-08,2023-11-18,Advanced,121
Ford,Fusion,11272,Automatic,2008,2022-12-22,2023-11-28,Base,188
Mercedes-Benz,GLC,113761,Automatic,2015,2023-08-27,2024-01-20,Advanced,255
BMW,X5,31764,Automatic,2017,2023-05-28,2024-02-13,Base,456
Toyota,Corolla,43846,Automatic,2011,2023-01-19,2024-01-22,Base,169
Toyota,Camry,53148,Automatic,2000,2023-08-27,2024-02-09,Advanced,203
Chevrolet,Equinox,27378,Automatic,2013,2023-07-08,2024-01-14,Luxe,252
Chevrolet,Equinox,69325,Automatic,2009,2023-08-23,2024-02-02,Advanced,252
Toyota,RAV4,11797,Automatic,2010,2023-01-17,2024-02-07,Full,219
Chevrolet,Malibu,66086,Automatic,2010,2023-07-24,2023-12-30,Base,250
Chevrolet,Silverado,40710,Automatic,2002,2023-01-29,2023-12-13,Luxe,285
Audi,Q5,128629,Manual,2006,2023-05-29,2024-01-24,Full,349
Ford,Fusion,125066,Automatic,2005,2023-01-18,2023-12-03,Base,188
BMW,5 Series,17189,Automatic,2008,2023-03-10,2024-02-06,Advanced,335
BMW,3 Series,31262,Automatic,2014,2023-10-03,2023-12-09,Advanced,255
Audi,Q7,13345,Automatic,2004,2023-04-09,2024-02-10,Base,335
Chevrolet,Silverado,32314,Automatic,2012,2023-10-19,2023-12-04,Luxe,355
Mercedes-Benz,C-Class,182310,Manual,2023,2022-12-12,2023-11-24,Full,385
Toyota,Prius,184386,Automatic,2022,2023-02-14,2024-01-14,Full,121
Ford,Mustang,139859,Automatic,2002,2023-10-21,2023-12-08,Advanced,300
Toyota,Corolla,84984,Automatic,2001,2023-01-09,2024-02-03,Full,169
BMW,X3,17798,Automatic,2006,2023-10-26,2023-12-21,Luxe,382
Toyota,RAV4,142937,Automatic,2008,2023-10-07,2024-01-19,Base,219
Toyota,Corolla,28733,Automatic,2016,2023-05-12,2024-02-02,Base,139
Ford,Explorer,69719,Automatic,2005,2023-03-06,2023-12-21,Base,300
Mercedes-Benz,E-Class,44043,Automatic,2020,2022-12-16,2024-01-23,Full,255
Ford,Mustang,26064,Automatic,2005,2023-04-23,2023-12-25,Full,300
Ford,F-150,92179,Automatic,2007,2023-11-03,2024-01-02,Luxe,400
Chevrolet,Malibu,166552,Automatic,2005,2022-11-27,2023-12-15,Luxe,250
Ford,Mustang,18017,Automatic,2009,2022-12-10,2023-11-28,Advanced,300
Toyota,Camry,69679,Automatic,2019,2023-04-21,2024-02-07,Advanced,301
Audi,A4,37142,Automatic,2007,2023-08-25,2024-01-17,Luxe,261
Mercedes-Benz,S-Class,199900,Automatic,2016,2023-01-13,2023-11-28,Advanced,463
Toyota,Prius,121044,Automatic,2017,2022-12-22,2023-12-07,Base,121
Toyota,Corolla,149268,Automatic,2011,2023-09-28,2024-01-21,Base,169
BMW,5 Series,163262,Automatic,2005,2023-06-15,2023-11-23,Full,335
Ford,Fusion,11220,Automatic,2021,2023-10-03,2023-12-28,Advanced,188
Toyota,Camry,190163,Automatic,2008,2022-11-26,2023-11-27,Base,301
Toyota,RAV4,67786,Automatic,2004,2023-07-15,2024-01-08,Base,219
Audi,A4,42795,Automatic,2007,2023-11-02,2023-11-25,Full,261
Ford,Explorer,42738,Automatic,2004,2023-03-16,2023-12-01,Luxe,300
Toyota,Camry,52451,Automatic,2004,2023-04-15,2024-01-09,Luxe,203
Mercedes-Benz,C-Class,136520,Automatic,2018,2023-03-13,2024-01-12,Advanced,255
Audi,A6,21144,Automatic,2009,2022-12-22,2023-12-03,Full,248
Toyota,Corolla,139337,Automatic,2008,2023-10-31,2023-12-18,Base,139
Mercedes-Benz,C-Class,107240,Automatic,2007,2023-09-09,2024-01-22,Base,385
BMW,5 Series,102328,Automatic,2023,2023-11-05,2024-01-08,Luxe,335
Mercedes-Benz,C-Class,38641,Automatic,2011,2023-10-27,2024-01-10,Full,255
Ford,Fusion,183218,Automatic,2009,2023-05-14,2023-11-24,Advanced,325
Audi,A6,85880,Automatic,2006,2023-06-26,2023-11-24,Luxe,248
Mercedes-Benz,GLC,18610,Automatic,2018,2023-08-29,2023-11-18,Full,255
Toyota,Prius,91948,Automatic,2005,2023-10-13,2024-01-31,Advanced,121
Chevrolet,Silverado,30436,Automatic,2018,2023-03-12,2024-02-06,Advanced,355
Audi,Q5,150121,Automatic,2006,2023-10-27,2024-01-10,Full,261
Ford,Explorer,165536,Automatic,2002,2023-08-22,2023-12-19,Full,300
Mercedes-Benz,S-Class,152081,Automatic,2016,2022-11-16,2023-12-03,Luxe,362
Audi,Q5,78741,Automatic,2011,2023-06-26,2024-01-15,Full,349
BMW,3 Series,129395,Automatic,2004,2023-09-06,2023-12-06,Advanced,255
BMW,5 Series,112708,Automatic,2012,2023-04-16,2023-11-28,Base,248
Ford,Fusion,112781,Automatic,2017,2023-03-23,2023-12-08,Base,325
BMW,X3,105767,Automatic,2014,2023-07-29,2023-11-27,Base,382
Toyota,RAV4,180581,Automatic,2003,2023-06-23,2023-12-16,Luxe,219
Mercedes-Benz,GLC,194719,Automatic,2010,2023-04-18,2023-12-05,Advanced,362
Ford,Explorer,140812,Automatic,2009,2023-07-12,2023-12-26,Full,290
Toyota,Prius,25926,Automatic,2005,2023-01-06,2023-12-06,Luxe,121
Audi,Q7,167201,Automatic,2016,2023-05-11,2023-11-30,Advanced,335
Ford,Fusion,19446,Automatic,2005,2023-09-29,2024-01-17,Base,188
Chevrolet,Malibu,19782,Automatic,2015,2023-08-23,2024-01-20,Base,182
Chevrolet,Equinox,146781,Automatic,2014,2022-12-24,2024-02-13,Advanced,252
Toyota,Corolla,143793,Automatic,2011,2023-02-10,2024-01-16,Advanced,169
Mercedes-Benz,S-Class,39498,Automatic,2020,2022-11-29,2023-12-07,Full,362
Ford,Mustang,78588,Automatic,2019,2023-05-07,2023-11-16,Base,450
Toyota,Prius,82817,Automatic,2015,2023-05-31,2024-02-03,Advanced,121
Audi,Q7,113310,Automatic,2003,2022-11-17,2023-11-20,Advanced,335
Mercedes-Benz,E-Class,174931,Automatic,2021,2022-12-21,2023-11-26,Luxe,255
Chevrolet,Silverado,163784,Manual,2012,2023-10-14,2024-01-13,Base,355
Toyota,Camry,83806,Manual,2007,2023-09-21,2023-11-28,Advanced,301
Chevrolet,Silverado,75456,Automatic,2020,2023-08-03,2024-01-06,Advanced,355
Toyota,Corolla,150888,Automatic,2020,2023-09-03,2023-12-18,Advanced,139
Chevrolet,Silverado,149978,Automatic,2023,2023-09-07,2023-11-28,Advanced,355
Audi,Q7,107161,Automatic,2011,2023-04-20,2024-01-15,Luxe,335
BMW,5 Series,106171,Automatic,2010,2023-07-11,2023-12-16,Advanced,335
Mercedes-Benz,C-Class,191096,Automatic,2007,2023-09-02,2024-01-13,Luxe,385
Audi,Q5,143712,Automatic,2001,2023-05-31,2023-11-28,Advanced,349
Audi,Q5,153560,Automatic,2023,2023-03-09,2024-02-08,Full,261
BMW,X5,193860,Automatic,2003,2022-12-01,2024-01-13,Base,456
Chevrolet,Impala,140493,Automatic,2014,2023-09-12,2023-11-17,Full,305
Toyota,RAV4,44300,Automatic,2007,2023-10-03,2023-12-21,Advanced,219
Toyota,Prius,62413,Automatic,2012,2022-12-10,2024-02-08,Full,121
Audi,A6,198095,Automatic,2003,2023-03-11,2024-02-07,Full,248
Toyota,Corolla,142990,Automatic,2000,2023-01-13,2023-12-04,Advanced,139
Ford,Explorer,85080,Automatic,2002,2023-04-21,2023-12-17,Base,300
Ford,F-150,47439,Automatic,2004,2023-03-01,2024-01-29,Full,400
Mercedes-Benz,C-Class,133192,Automatic,2008,2023-11-08,2023-11-24,Advanced,255
Chevrolet,Silverado,78963,Manual,2016,2023-05-14,2024-02-04,Full,355
Toyota,Camry,100901,Automatic,2011,2023-06-28,2024-01-23,Luxe,208
BMW,X5,145636,Automatic,2014,2022-12-29,2024-01-12,Full,335
Mercedes-Benz,E-Class,88437,Automatic,2004,2023-10-14,2024-01-10,Base,255
BMW,X3,132758,Automatic,2000,2023-09-02,2024-01-27,Full,382
Audi,Q5,81127,Automatic,2010,2023-01-06,2023-12-24,Luxe,349
BMW,X5,30438,Automatic,2022,2023-01-04,2023-11-16,Base,456
Ford,Explorer,34128,Automatic,2006,2022-11-17,2023-11-23,Advanced,290
Ford,F-150,69232,Automatic,2012,2023-04-03,2024-01-26,Luxe,400
Chevrolet,Equinox,112042,Automatic,2000,2023-09-13,2023-12-17,Base,170
Ford,F-150,45419,Automatic,2003,2022-12-30,2023-12-17,Base,400
Audi,A6,64169,Automatic,2011,2023-02-24,2023-11-30,Advanced,335
Mercedes-Benz,GLC,84480,Automatic,2017,2023-07-28,2024-01-28,Advanced,362
Audi,A4,21663,Automatic,2023,2023-02-04,2024-02-11,Luxe,261
BMW,X3,126065,Automatic,2000,2022-12-05,2023-12-18,Full,248
Audi,A6,138264,Automatic,2012,2023-07-29,2023-12-24,Full,248
Mercedes-Benz,S-Class,68812,Automatic,2016,2023-01-28,2023-11-16,Full,362
Mercedes-Benz,C-Class,195261,Automatic,2011,2023-10-08,2024-01-19,Full,385
Ford,Mustang,197697,Automatic,2010,2022-11-20,2024-02-06,Base,450
Toyota,Camry,15488,Automatic,2002,2023-04-01,2023-12-20,Full,203
Mercedes-Benz,E-Class,58676,Automatic,2020,2022-11-16,2024-01-23,Base,362
Ford,Explorer,83651,Automatic,2023,2023-09-28,2023-11-21,Base,300
Chevrolet,Equinox,129772,Automatic,2013,2023-04-05,2023-12-03,Advanced,252
Toyota,Corolla,189274,Automatic,2001,2023-08-14,2024-02-12,Luxe,139
Toyota,Camry,85580,Automatic,2012,2022-12-13,2024-01-14,Luxe,301
Mercedes-Benz,S-Class,189022,Automatic,2003,2023-07-07,2024-01-19,Advanced,362
Toyota,Corolla,159499,Automatic,2011,2023-05-29,2024-02-08,Advanced,169
Audi,A6,22126,Automatic,2000,2023-05-31,2024-01-13,Advanced,335
Toyota,Camry,45915,Automatic,2017,2023-09-14,2024-01-19,Full,208
Ford,F-150,199652,Automatic,2023,2023-05-20,2023-12-18,Advanced,400
Audi,A6,34914,Automatic,2019,2023-06-25,2024-01-16,Luxe,248
Chevrolet,Malibu,36215,Automatic,2020,2023-10-14,2024-01-22,Advanced,182
Chevrolet,Silverado,152478,Automatic,2020,2023-05-03,2023-12-13,Base,285
Toyota,Camry,32892,Automatic,2017,2023-08-02,2023-12-13,Luxe,203
Ford,Explorer,175350,Automatic,2018,2023-05-30,2024-01-12,Advanced,300
BMW,3 Series,102054,Automatic,2001,2023-07-18,2023-11-21,Base,382
Ford,Explorer,127375,Automatic,2022,2023-01-20,2024-01-03,Luxe,300
Ford,Fusion,180402,Automatic,2013,2023-04-30,2023-11-17,Full,325
Audi,A6,31750,Manual,2016,2022-12-12,2023-12-22,Base,335
Mercedes-Benz,S-Class,106059,Automatic,2023,2023-06-15,2023-11-25,Advanced,362
Toyota,Corolla,45382,Automatic,2018,2023-06-08,2024-02-13,Luxe,139
BMW,5 Series,19991,Automatic,2010,2023-05-24,2023-11-24,Luxe,335
Ford,Mustang,188752,Automatic,2009,2023-07-20,2024-01-13,Full,450
Ford,Mustang,131585,Automatic,2012,2022-12-07,2024-01-30,Luxe,300
Ford,Mustang,78682,Automatic,2012,2023-11-02,2023-11-29,Base,450
BMW,X5,90795,Automatic,2017,2023-09-21,2023-12-27,Advanced,456
BMW,X3,194447,Automatic,2010,2023-07-02,2024-01-30,Luxe,248
Toyota,RAV4,112911,Automatic,2013,2023-06-03,2024-01-30,Full,219
Chevrolet,Silverado,137432,Automatic,2013,2023-05-26,2023-12-03,Full,355
Toyota,Camry,13571,Automatic,2006,2022-12-06,2023-11-17,Advanced,208
Ford,Explorer,50641,Automatic,2001,2023-11-13,2024-01-08,Luxe,290
Mercedes-Benz,C-Class,80013,Automatic,2023,2023-08-12,2024-02-13,Luxe,385
Ford,Explorer,55447,Automatic,2021,2023-10-05,2023-11-29,Luxe,300
BMW,3 Series,138651,Automatic,2006,2023-09-25,2023-12-22,Full,255
Mercedes-Benz,C-Class,173249,Automatic,2021,2022-11-26,2023-12-22,Base,255
Chevrolet,Malibu,80195,Automatic,2023,2022-12-20,2024-01-03,Base,250
Toyota,Corolla,163944,Automatic,2022,2023-10-03,2023-12-19,Base,169
Audi,A4,89276,Automatic,2018,2022-12-18,2023-12-31,Luxe,261
Chevrolet,Silverado,83293,Automatic,2018,2023-09-03,2023-12-10,Luxe,355
Audi,Q5,88132,Automatic,2004,2023-04-14,2023-12-31,Full,261
BMW,X3,149448,Automatic,2016,2023-02-24,2023-11-19,Base,248
Ford,Fusion,139438,Manual,2010,2023-03-10,2024-01-06,Base,325
Mercedes-Benz,E-Class,131469,Automatic,2014,2023-09-29,2023-12-29,Base,362
Ford,F-150,34145,Automatic,2023,2023-07-18,2024-01-12,Advanced,400
BMW,X5,67281,Automatic,2023,2023-01-07,2023-12-22,Base,456
Audi,Q7,85040,Automatic,2008,2022-11-27,2024-01-23,Advanced,335
Mercedes-Benz,S-Class,125181,Automatic,2010,2023-09-23,2024-02-05,Base,463
Chevrolet,Silverado,67904,Automatic,2008,2023-04-16,2024-01-06,Base,285
Chevrolet,Silverado,175086,Automatic,2019,2023-05-29,2024-01-13,Base,355
Toyota,Corolla,95351,Automatic,2021,2023-11-01,2023-12-23,Luxe,139
Ford,Mustang,80386,Automatic,2023,2022-12-18,2023-12-18,Advanced,450
Ford,Fusion,51710,Automatic,2017,2023-01-11,2023-11-16,Full,325
Audi,A6,157712,Automatic,2020,2023-02-18,2024-01-21,Base,248
Audi,A4,169064,Automatic,2013,2023-09-02,2023-12-12,Advanced,261
Ford,Mustang,181999,Automatic,2014,2023-04-15,2023-11-28,Base,450
Toyota,Camry,149963,Automatic,2015,2023-03-20,2023-12-02,Luxe,301
Toyota,Corolla,22519,Automatic,2008,2023-02-07,2023-12-21,Advanced,169
Audi,Q7,167789,Automatic,2005,2023-06-17,2024-02-09,Full,335
Chevrolet,Equinox,140736,Automatic,2007,2023-05-08,2024-01-03,Luxe,170
BMW,5 Series,195359,Automatic,2007,2023-03-15,2024-02-03,Luxe,248
Audi,A6,124288,Automatic,2007,2023-01-02,2024-01-05,Advanced,248
Audi,A4,139386,Automatic,2009,2023-04-10,2023-11-25,Luxe,261
Audi,Q5,143395,Automatic,2001,2023-03-05,2024-01-22,Luxe,261
Chevrolet,Malibu,63525,Automatic,2008,2023-08-21,2023-12-26,Luxe,250
Ford,Fusion,192211,Automatic,2015,2023-06-28,2023-12-29,Full,325
Toyota,Prius,165249,Automatic,2003,2023-08-25,2024-02-07,Advanced,121
Audi,A4,103997,Automatic,2023,2023-03-11,2024-01-15,Base,261
Chevrolet,Equinox,34225,Automatic,2007,2023-01-04,2024-01-02,Advanced,170
BMW,3 Series,108209,Automatic,2023,2022-12-07,2024-01-28,Luxe,255
Toyota,RAV4,138479,Automatic,2020,2023-02-17,2024-01-19,Base,203
Chevrolet,Malibu,169482,Automatic,2005,2023-04-08,2024-01-21,Luxe,182
Chevrolet,Malibu,189647,Automatic,2004,2022-12-26,2024-01-28,Base,250
BMW,X5,46367,Automatic,2002,2023-09-02,2024-01-13,Base,335
BMW,3 Series,123779,Automatic,2015,2023-07-25,2023-12-02,Full,255
Mercedes-Benz,S-Class,196449,Automatic,2023,2023-10-08,2024-01-07,Luxe,362
Audi,A4,50669,Manual,2000,2022-12-08,2023-12-24,Base,261
Toyota,Camry,86192,Automatic,2009,2023-11-08,2024-01-10,Full,301
Toyota,Prius,196216,Automatic,2014,2022-12-14,2023-11-26,Luxe,121
Audi,A4,112388,Automatic,2005,2023-02-03,2024-01-24,Luxe,261
Ford,Explorer,36975,Automatic,2009,2023-03-27,2024-01-11,Base,290
Chevrolet,Malibu,178469,Automatic,2020,2023-05-02,2023-12-07,Luxe,250
Audi,A4,96408,Automatic,2020,2023-04-04,2023-11-22,Full,261
Chevrolet,Equinox,68220,Automatic,2018,2023-07-23,2024-01-08,Full,252
BMW,X3,75295,Automatic,2021,2023-06-04,2023-11-22,Advanced,382
Chevrolet,Malibu,58356,Automatic,2016,2022-12-01,2024-01-30,Full,182
Chevrolet,Silverado,146013,Automatic,2021,2023-01-15,2024-02-11,Advanced,355
Toyota,Prius,147739,Automatic,2004,2023-09-21,2023-12-03,Full,121
Audi,A4,185438,Automatic,2009,2023-01-07,2024-01-22,Luxe,261
Mercedes-Benz,E-Class,48040,Automatic,2013,2023-07-13,2024-01-29,Full,362
Chevrolet,Equinox,87452,Automatic,2017,2022-12-24,2023-12-26,Full,170
Toyota,Prius,38080,Automatic,2019,2023-01-11,2024-01-23,Full,121
Audi,Q5,177170,Automatic,2009,2023-05-22,2024-01-21,Full,349
BMW,X3,13531,Automatic,2011,2023-11-05,2023-12-29,Advanced,248
Audi,Q7,99462,Automatic,2008,2023-01-26,2023-12-16,Full,335
Mercedes-Benz,E-Class,175259,Automatic,2009,2023-10-01,2024-01-16,Luxe,362
Ford,Fusion,190298,Automatic,2018,2023-04-11,2024-01-13,Full,325
Mercedes-Benz,GLC,122934,Automatic,2014,2023-09-17,2024-02-12,Advanced,255
Audi,A4,15072,Automatic,2022,2023-10-21,2024-01-07,Luxe,261
Toyota,RAV4,31646,Automatic,2023,2023-02-10,2024-01-11,Full,203
Mercedes-Benz,C-Class,97158,Automatic,2021,2023-09-12,2024-01-15,Luxe,255
BMW,3 Series,144252,Automatic,2011,2023-09-18,2023-12-15,Base,255
Toyota,Camry,40462,Automatic,2006,2023-11-02,2023-12-20,Base,203
Mercedes-Benz,GLC,154622,Automatic,2020,2022-12-26,2024-02-03,Luxe,362
Audi,Q7,177698,Automatic,2019,2023-08-26,2024-02-05,Full,335
Chevrolet,Silverado,170650,Automatic,2019,2023-01-18,2024-01-17,Advanced,355
Audi,A4,110793,Automatic,2003,2023-03-22,2023-12-06,Base,261
Mercedes-Benz,C-Class,103080,Automatic,2010,2023-08-17,2024-01-30,Base,385
Ford,Mustang,100381,Automatic,2010,2023-07-10,2023-12-31,Base,450
Chevrolet,Impala,131783,Automatic,2015,2023-04-17,2023-11-20,Full,305
Audi,Q7,151845,Manual,2004,2023-10-29,2024-01-02,Base,335
Toyota,Corolla,96059,Automatic,2013,2023-09-02,2023-12-07,Full,139
Audi,A6,199247,Automatic,2021,2023-05-19,2024-02-09,Advanced,335
Mercedes-Benz,S-Class,70899,Automatic,2001,2023-03-01,2023-11-23,Advanced,463
Chevrolet,Malibu,189244,Automatic,2020,2023-06-06,2023-12-21,Full,182
Mercedes-Benz,E-Class,131517,Automatic,2013,2023-04-10,2023-11-20,Base,362
Audi,Q7,181768,Automatic,2010,2023-01-06,2023-12-11,Full,335
Audi,Q5,14338,Automatic,2010,2022-12-15,2024-01-29,Full,349
Mercedes-Benz,C-Class,19522,Automatic,2010,2022-12-18,2024-01-08,Full,255
Chevrolet,Impala,123910,Automatic,2005,2023-01-06,2024-02-01,Full,305
Chevrolet,Malibu,102515,Automatic,2004,2022-12-12,2024-01-04,Advanced,182
Chevrolet,Silverado,75584,Automatic,2023,2022-12-01,2023-12-12,Luxe,285
Ford,Mustang,192684,Automatic,2022,2023-11-07,2024-02-02,Full,300
BMW,3 Series,115892,Automatic,2017,2023-11-04,2024-01-30,Advanced,255
Mercedes-Benz,E-Class,122234,Automatic,2011,2023-05-25,2023-12-18,Full,255
Toyota,RAV4,178286,Automatic,2005,2023-04-29,2023-11-16,Base,203
Toyota,Prius,154157,Automatic,2019,2023-09-29,2023-11-29,Advanced,121
Mercedes-Benz,C-Class,187836,Manual,2006,2023-09-26,2024-01-19,Luxe,385
BMW,X3,17376,Automatic,2005,2023-10-10,2024-02-09,Advanced,382
Chevrolet,Silverado,56604,Automatic,2022,2023-06-15,2023-11-30,Full,355
Toyota,Prius,38142,Automatic,2018,2023-02-14,2024-01-27,Base,121
Chevrolet,Equinox,67229,Automatic,2020,2023-01-13,2024-02-01,Base,252
BMW,5 Series,55313,Manual,2012,2022-12-20,2024-01-24,Advanced,335
Ford,F-150,197566,Automatic,2019,2023-08-05,2024-01-31,Advanced,400
Audi,A6,148971,Automatic,2009,2023-09-12,2024-01-12,Luxe,335
Chevrolet,Silverado,132649,Automatic,2015,2023-03-08,2024-01-08,Base,355
BMW,3 Series,122723,Manual,2017,2023-01-29,2024-01-30,Base,255
BMW,5 Series,127139,Automatic,2016,2023-04-15,2023-12-05,Advanced,335
BMW,5 Series,151365,Automatic,2022,2023-08-03,2023-11-22,Luxe,248
Toyota,RAV4,34142,Automatic,2012,2023-02-20,2023-11-17,Base,203
Audi,A6,156756,Automatic,2010,2023-09-26,2024-01-20,Luxe,335
Ford,Mustang,116945,Automatic,2018,2023-06-02,2023-12-06,Base,300
BMW,X5,147600,Automatic,2012,2023-06-23,2024-01-15,Base,335
Mercedes-Benz,S-Class,33565,Automatic,2000,2023-09-05,2023-12-27,Luxe,463
Ford,Mustang,88426,Automatic,2010,2023-01-20,2024-02-10,Luxe,300
Ford,Fusion,142597,Automatic,2003,2023-08-31,2024-01-27,Base,188
BMW,3 Series,196606,Automatic,2009,2023-01-27,2023-12-19,Full,255
