Car_make,Model,Mileage,Transmission,Year,Website_post_date,Sell_date,Options,Horsepower
Chevrolet,Silverado,40710,Automatic,2002,29.01.23,13.12.23,Luxe,285
Audi,Q5,128629,Manual,2006,29.05.23,24.01.24,Full,349
Ford,Fusion,125066,Automatic,2005,18.01.23,03.12.23,Base,188
BMW,5 Series,17189,Automatic,2008,10.03.23,06.02.24,Advanced,335
BMW,3 Series,31262,Automatic,2014,03.10.23,09.12.23,Advanced,255
Audi,Q7,13345,Automatic,2004,09.04.23,10.02.24,Base,335
Chevrolet,Silverado,32314,Automatic,2012,19.10.23,04.12.23,Luxe,355
Mercedes-Benz,C-Class,182310,Manual,2023,12.12.22,24.11.23,Full,385
Toyota,Prius,184386,Automatic,2022,14.02.23,14.01.24,Full,121
Ford,Mustang,139859,Automatic,2002,21.10.23,08.12.23,Advanced,300
Toyota,Corolla,84984,Automatic,2001,09.01.23,03.02.24,Full,169
BMW,X3,17798,Automatic,2006,26.10.23,21.12.23,Luxe,382
Toyota,RAV4,142937,Automatic,2008,07.10.23,19.01.24,Base,219
Toyota,Corolla,28733,Automatic,2016,12.05.23,02.02.24,Base,139
Ford,Explorer,69719,Automatic,2005,06.03.23,21.12.23,Base,300
Mercedes-Benz,E-Class,44043,Automatic,2020,16.12.22,23.01.24,Full,255
Ford,Mustang,26064,Automatic,2005,23.04.23,25.12.23,Full,300
Ford,F-150,92179,Automatic,2007,03.11.23,02.01.24,Luxe,400
Chevrolet,Malibu,166552,Automatic,2005,27.11.22,15.12.23,Luxe,250
Ford,Mustang,18017,Automatic,2009,10.12.22,28.11.23,Advanced,300
Toyota,Camry,69679,Automatic,2019,21.04.23,07.02.24,Advanced,301
Audi,A4,37142,Automatic,2007,25.08.23,17.01.24,Luxe,261
Mercedes-Benz,S-Class,199900,Automatic,2016,13.01.23,28.11.23,Advanced,463
Toyota,Prius,121044,Automatic,2017,22.12.22,07.12.23,Base,121
Toyota,Corolla,149268,Automatic,2011,28.09.23,21.01.24,Base,169
BMW,5 Series,163262,Automatic,2005,15.06.23,23.11.23,Full,335
Ford,Fusion,11220,Automatic,2021,03.10.23,28.12.23,Advanced,188
Toyota,Camry,190163,Automatic,2008,26.11.22,27.11.23,Base,301
Toyota,RAV4,67786,Automatic,2004,15.07.23,08.01.24,Base,219
Audi,A4,42795,Automatic,2007,02.11.23,25.11.23,Full,261
Ford,Explorer,42738,Automatic,2004,16.03.23,01.12.23,Luxe,300
Toyota,Camry,52451,Automatic,2004,15.04.23,09.01.24,Luxe,203
Mercedes-Benz,C-Class,136520,Automatic,2018,13.03.23,12.01.24,Advanced,255
Audi,A6,21144,Automatic,2009,22.12.22,03.12.23,Full,248
Toyota,Corolla,139337,Automatic,2008,31.10.23,18.12.23,Base,139
Mercedes-Benz,C-Class,107240,Automatic,2007,09.09.23,22.01.24,Base,385
BMW,5 Series,102328,Automatic,2023,05.11.23,08.01.24,Luxe,335
Mercedes-Benz,C-Class,38641,Automatic,2011,27.10.23,10.01.24,Full,255
Ford,Fusion,183218,Automatic,2009,14.05.23,24.11.23,Advanced,325
Audi,A6,85880,Automatic,2006,26.06.23,24.11.23,Luxe,248
Mercedes-Benz,GLC,18610,Automatic,2018,29.08.23,18.11.23,Full,255
Toyota,Prius,91948,Automatic,2005,13.10.23,31.01.24,Advanced,121
Chevrolet,Silverado,30436,Automatic,2018,12.03.23,06.02.24,Advanced,355
Audi,Q5,150121,Automatic,2006,27.10.23,10.01.24,Full,261
Ford,Explorer,165536,Automatic,2002,22.08.23,19.12.23,Full,300
Mercedes-Benz,S-Class,152081,Automatic,2016,16.11.22,03.12.23,Luxe,362
Audi,Q5,78741,Automatic,2011,26.06.23,15.01.24,Full,349
BMW,3 Series,129395,Automatic,2004,06.09.23,06.12.23,Advanced,255
BMW,5 Series,112708,Automatic,2012,16.04.23,28.11.23,Base,248
Ford,Fusion,112781,Automatic,2017,23.03.23,08.12.23,Base,325
BMW,X3,105767,Automatic,2014,29.07.23,27.11.23,Base,382
Toyota,RAV4,180581,Automatic,2003,23.06.23,16.12.23,Luxe,219
Mercedes-Benz,GLC,194719,Automatic,2010,18.04.23,05.12.23,Advanced,362
Ford,Explorer,140812,Automatic,2009,12.07.23,26.12.23,Full,290
Toyota,Prius,25926,Automatic,2005,06.01.23,06.12.23,Luxe,121
Audi,Q7,167201,Automatic,2016,11.05.23,30.11.23,Advanced,335
Ford,Fusion,19446,Automatic,2005,29.09.23,17.01.24,Base,188
Chevrolet,Malibu,19782,Automatic,2015,23.08.23,20.01.24,Base,182
Chevrolet,Equinox,146781,Automatic,2014,24.12.22,13.02.24,Advanced,252
Toyota,Corolla,143793,Automatic,2011,10.02.23,16.01.24,Advanced,169
Mercedes-Benz,S-Class,39498,Automatic,2020,29.11.22,07.12.23,Full,362
Ford,Mustang,78588,Automatic,2019,07.05.23,16.11.23,Base,450
Toyota,Prius,82817,Automatic,2015,31.05.23,03.02.24,Advanced,121
Audi,Q7,113310,Automatic,2003,17.11.22,20.11.23,Advanced,335
Mercedes-Benz,E-Class,174931,Automatic,2021,21.12.22,26.11.23,Luxe,255
Chevrolet,Silverado,163784,Manual,2012,14.10.23,13.01.24,Base,355
Toyota,Camry,83806,Manual,2007,21.09.23,28.11.23,Advanced,301
Chevrolet,Silverado,75456,Automatic,2020,03.08.23,06.01.24,Advanced,355
Toyota,Corolla,150888,Automatic,2020,03.09.23,18.12.23,Advanced,139
Chevrolet,Silverado,149978,Automatic,2023,07.09.23,28.11.23,Advanced,355
Audi,Q7,107161,Automatic,2011,20.04.23,15.01.24,Luxe,335
BMW,5 Series,106171,Automatic,2010,11.07.23,16.12.23,Advanced,335
Mercedes-Benz,C-Class,191096,Automatic,2007,02.09.23,13.01.24,Luxe,385
Audi,Q5,143712,Automatic,2001,31.05.23,28.11.23,Advanced,349
Audi,Q5,153560,Automatic,2023,09.03.23,08.02.24,Full,261
BMW,X5,193860,Automatic,2003,01.12.22,13.01.24,Base,456
Chevrolet,Impala,140493,Automatic,2014,12.09.23,17.11.23,Full,305
Toyota,RAV4,44300,Automatic,2007,03.10.23,21.12.23,Advanced,219
Toyota,Prius,62413,Automatic,2012,10.12.22,08.02.24,Full,121
Audi,A6,198095,Automatic,2003,11.03.23,07.02.24,Full,248
Toyota,Corolla,142990,Automatic,2000,13.01.23,04.12.23,Advanced,139
Ford,Explorer,85080,Automatic,2002,21.04.23,17.12.23,Base,300
Ford,F-150,47439,Automatic,2004,01.03.23,29.01.24,Full,400
Mercedes-Benz,C-Class,133192,Automatic,2008,08.11.23,24.11.23,Advanced,255
Chevrolet,Silverado,78963,Manual,2016,14.05.23,04.02.24,Full,355
Toyota,Camry,100901,Automatic,2011,28.06.23,23.01.24,Luxe,208
BMW,X5,145636,Automatic,2014,29.12.22,12.01.24,Full,335
Mercedes-Benz,E-Class,88437,Automatic,2004,14.10.23,10.01.24,Base,255
BMW,X3,132758,Automatic,2000,02.09.23,27.01.24,Full,382
Audi,Q5,81127,Automatic,2010,06.01.23,24.12.23,Luxe,349
BMW,X5,30438,Automatic,2022,04.01.23,16.11.23,Base,456
Ford,Explorer,34128,Automatic,2006,17.11.22,23.11.23,Advanced,290
Ford,F-150,69232,Automatic,2012,03.04.23,26.01.24,Luxe,400
Chevrolet,Equinox,112042,Automatic,2000,13.09.23,17.12.23,Base,170
Ford,F-150,45419,Automatic,2003,30.12.22,17.12.23,Base,400
Audi,A6,64169,Automatic,2011,24.02.23,30.11.23,Advanced,335
Mercedes-Benz,GLC,84480,Automatic,2017,28.07.23,28.01.24,Advanced,362
Audi,A4,21663,Automatic,2023,04.02.23,11.02.24,Luxe,261
BMW,X3,126065,Automatic,2000,05.12.22,18.12.23,Full,248
Audi,A6,138264,Automatic,2012,29.07.23,24.12.23,Full,248
Mercedes-Benz,S-Class,68812,Automatic,2016,28.01.23,16.11.23,Full,362
Mercedes-Benz,C-Class,195261,Automatic,2011,08.10.23,19.01.24,Full,385
Ford,Mustang,197697,Automatic,2010,20.11.22,06.02.24,Base,450
Toyota,Camry,15488,Automatic,2002,01.04.23,20.12.23,Full,203
Mercedes-Benz,E-Class,58676,Automatic,2020,16.11.22,23.01.24,Base,362
Ford,Explorer,83651,Automatic,2023,28.09.23,21.11.23,Base,300
Chevrolet,Equinox,129772,Automatic,2013,05.04.23,03.12.23,Advanced,252
Toyota,Corolla,189274,Automatic,2001,14.08.23,12.02.24,Luxe,139
Toyota,Camry,85580,Automatic,2012,13.12.22,14.01.24,Luxe,301
Mercedes-Benz,S-Class,189022,Automatic,2003,07.07.23,19.01.24,Advanced,362
Toyota,Corolla,159499,Automatic,2011,29.05.23,08.02.24,Advanced,169
Audi,A6,22126,Automatic,2000,31.05.23,13.01.24,Advanced,335
Toyota,Camry,45915,Automatic,2017,14.09.23,19.01.24,Full,208
Ford,F-150,199652,Automatic,2023,20.05.23,18.12.23,Advanced,400
Audi,A6,34914,Automatic,2019,25.06.23,16.01.24,Luxe,248
Chevrolet,Malibu,36215,Automatic,2020,14.10.23,22.01.24,Advanced,182
Chevrolet,Silverado,152478,Automatic,2020,03.05.23,13.12.23,Base,285
Toyota,Camry,32892,Automatic,2017,02.08.23,13.12.23,Luxe,203
Ford,Explorer,175350,Automatic,2018,30.05.23,12.01.24,Advanced,300
BMW,3 Series,102054,Automatic,2001,18.07.23,21.11.23,Base,382
Ford,Explorer,127375,Automatic,2022,20.01.23,03.01.24,Luxe,300
Ford,Fusion,180402,Automatic,2013,30.04.23,17.11.23,Full,325
Audi,A6,31750,Manual,2016,12.12.22,22.12.23,Base,335
Mercedes-Benz,S-Class,106059,Automatic,2023,15.06.23,25.11.23,Advanced,362
Toyota,Corolla,45382,Automatic,2018,08.06.23,13.02.24,Luxe,139
BMW,5 Series,19991,Automatic,2010,24.05.23,24.11.23,Luxe,335
Ford,Mustang,188752,Automatic,2009,20.07.23,13.01.24,Full,450
Ford,Mustang,131585,Automatic,2012,07.12.22,30.01.24,Luxe,300
Ford,Mustang,78682,Automatic,2012,02.11.23,29.11.23,Base,450
BMW,X5,90795,Automatic,2017,21.09.23,27.12.23,Advanced,456
BMW,X3,194447,Automatic,2010,02.07.23,30.01.24,Luxe,248
Toyota,RAV4,112911,Automatic,2013,03.06.23,30.01.24,Full,219
Chevrolet,Silverado,137432,Automatic,2013,26.05.23,03.12.23,Full,355
Toyota,Camry,13571,Automatic,2006,06.12.22,17.11.23,Advanced,208
Ford,Explorer,50641,Automatic,2001,13.11.23,08.01.24,Luxe,290
Mercedes-Benz,C-Class,80013,Automatic,2023,12.08.23,13.02.24,Luxe,385
Ford,Explorer,55447,Automatic,2021,05.10.23,29.11.23,Luxe,300
BMW,3 Series,138651,Automatic,2006,25.09.23,22.12.23,Full,255
Mercedes-Benz,C-Class,173249,Automatic,2021,26.11.22,22.12.23,Base,255
Chevrolet,Malibu,80195,Automatic,2023,20.12.22,03.01.24,Base,250
Toyota,Corolla,163944,Automatic,2022,03.10.23,19.12.23,Base,169
Audi,A4,89276,Automatic,2018,18.12.22,31.12.23,Luxe,261
Chevrolet,Silverado,83293,Automatic,2018,03.09.23,10.12.23,Luxe,355
Audi,Q5,88132,Automatic,2004,14.04.23,31.12.23,Full,261
BMW,X3,149448,Automatic,2016,24.02.23,19.11.23,Base,248
Ford,Fusion,139438,Manual,2010,10.03.23,06.01.24,Base,325
Mercedes-Benz,E-Class,131469,Automatic,2014,29.09.23,29.12.23,Base,362
Ford,F-150,34145,Automatic,2023,18.07.23,12.01.24,Advanced,400
BMW,X5,67281,Automatic,2023,07.01.23,22.12.23,Base,456
Audi,Q7,85040,Automatic,2008,27.11.22,23.01.24,Advanced,335
Mercedes-Benz,S-Class,125181,Automatic,2010,23.09.23,05.02.24,Base,463
Chevrolet,Silverado,67904,Automatic,2008,16.04.23,06.01.24,Base,285
Chevrolet,Silverado,175086,Automatic,2019,29.05.23,13.01.24,Base,355
Toyota,Corolla,95351,Automatic,2021,01.11.23,23.12.23,Luxe,139
Ford,Mustang,80386,Automatic,2023,18.12.22,18.12.23,Advanced,450
Ford,Fusion,51710,Automatic,2017,11.01.23,16.11.23,Full,325
Audi,A6,157712,Automatic,2020,18.02.23,21.01.24,Base,248
Audi,A4,169064,Automatic,2013,02.09.23,12.12.23,Advanced,261
Ford,Mustang,181999,Automatic,2014,15.04.23,28.11.23,Base,450
Toyota,Camry,149963,Automatic,2015,20.03.23,02.12.23,Luxe,301
Toyota,Corolla,22519,Automatic,2008,07.02.23,21.12.23,Advanced,169
Audi,Q7,167789,Automatic,2005,17.06.23,09.02.24,Full,335
Chevrolet,Equinox,140736,Automatic,2007,08.05.23,03.01.24,Luxe,170
BMW,5 Series,195359,Automatic,2007,15.03.23,03.02.24,Luxe,248
Audi,A6,124288,Automatic,2007,02.01.23,05.01.24,Advanced,248
Audi,A4,139386,Automatic,2009,10.04.23,25.11.23,Luxe,261
Audi,Q5,143395,Automatic,2001,05.03.23,22.01.24,Luxe,261
Chevrolet,Malibu,63525,Automatic,2008,21.08.23,26.12.23,Luxe,250
Ford,Fusion,192211,Automatic,2015,28.06.23,29.12.23,Full,325
Toyota,Prius,165249,Automatic,2003,25.08.23,07.02.24,Advanced,121
Audi,A4,103997,Automatic,2023,11.03.23,15.01.24,Base,261
Chevrolet,Equinox,34225,Automatic,2007,04.01.23,02.01.24,Advanced,170
BMW,3 Series,108209,Automatic,2023,07.12.22,28.01.24,Luxe,255
Toyota,RAV4,138479,Automatic,2020,17.02.23,19.01.24,Base,203
Chevrolet,Malibu,169482,Automatic,2005,08.04.23,21.01.24,Luxe,182
Chevrolet,Malibu,189647,Automatic,2004,26.12.22,28.01.24,Base,250
BMW,X5,46367,Automatic,2002,02.09.23,13.01.24,Base,335
BMW,3 Series,123779,Automatic,2015,25.07.23,02.12.23,Full,255
Mercedes-Benz,S-Class,196449,Automatic,2023,08.10.23,07.01.24,Luxe,362
Audi,A4,50669,Manual,2000,08.12.22,24.12.23,Base,261
Toyota,Camry,86192,Automatic,2009,08.11.23,10.01.24,Full,301
Toyota,Prius,196216,Automatic,2014,14.12.22,26.11.23,Luxe,121
Audi,A4,112388,Automatic,2005,03.02.23,24.01.24,Luxe,261
Ford,Explorer,36975,Automatic,2009,27.03.23,11.01.24,Base,290
Chevrolet,Malibu,178469,Automatic,2020,02.05.23,07.12.23,Luxe,250
Audi,A4,96408,Automatic,2020,04.04.23,22.11.23,Full,261
Chevrolet,Equinox,68220,Automatic,2018,23.07.23,08.01.24,Full,252
BMW,X3,75295,Automatic,2021,04.06.23,22.11.23,Advanced,382
Chevrolet,Malibu,58356,Automatic,2016,01.12.22,30.01.24,Full,182
Chevrolet,Silverado,146013,Automatic,2021,15.01.23,11.02.24,Advanced,355
Toyota,Prius,147739,Automatic,2004,21.09.23,03.12.23,Full,121
Audi,A4,185438,Automatic,2009,07.01.23,22.01.24,Luxe,261
Mercedes-Benz,E-Class,48040,Automatic,2013,13.07.23,29.01.24,Full,362
Chevrolet,Equinox,87452,Automatic,2017,24.12.22,26.12.23,Full,170
Toyota,Prius,38080,Automatic,2019,11.01.23,23.01.24,Full,121
Audi,Q5,177170,Automatic,2009,22.05.23,21.01.24,Full,349
BMW,X3,13531,Automatic,2011,05.11.23,29.12.23,Advanced,248
Audi,Q7,99462,Automatic,2008,26.01.23,16.12.23,Full,335
Mercedes-Benz,E-Class,175259,Automatic,2009,01.10.23,16.01.24,Luxe,362
Ford,Fusion,190298,Automatic,2018,11.04.23,13.01.24,Full,325
Mercedes-Benz,GLC,122934,Automatic,2014,17.09.23,12.02.24,Advanced,255
Audi,A4,15072,Automatic,2022,21.10.23,07.01.24,Luxe,261
Toyota,RAV4,31646,Automatic,2023,10.02.23,11.01.24,Full,203
Mercedes-Benz,C-Class,97158,Automatic,2021,12.09.23,15.01.24,Luxe,255
BMW,3 Series,144252,Automatic,2011,18.09.23,15.12.23,Base,255
Toyota,Camry,40462,Automatic,2006,02.11.23,20.12.23,Base,203
Mercedes-Benz,GLC,154622,Automatic,2020,26.12.22,03.02.24,Luxe,362
Audi,Q7,177698,Automatic,2019,26.08.23,05.02.24,Full,335
Chevrolet,Silverado,170650,Automatic,2019,18.01.23,17.01.24,Advanced,355
Audi,A4,110793,Automatic,2003,22.03.23,06.12.23,Base,261
Mercedes-Benz,C-Class,103080,Automatic,2010,17.08.23,30.01.24,Base,385
Ford,Mustang,100381,Automatic,2010,10.07.23,31.12.23,Base,450
Chevrolet,Impala,131783,Automatic,2015,17.04.23,20.11.23,Full,305
Audi,Q7,151845,Manual,2004,29.10.23,02.01.24,Base,335
Toyota,Corolla,96059,Automatic,2013,02.09.23,07.12.23,Full,139
Audi,A6,199247,Automatic,2021,19.05.23,09.02.24,Advanced,335
Mercedes-Benz,S-Class,70899,Automatic,2001,01.03.23,23.11.23,Advanced,463
Chevrolet,Malibu,189244,Automatic,2020,06.06.23,21.12.23,Full,182
Mercedes-Benz,E-Class,131517,Automatic,2013,10.04.23,20.11.23,Base,362
Audi,Q7,181768,Automatic,2010,06.01.23,11.12.23,Full,335
Audi,Q5,14338,Automatic,2010,15.12.22,29.01.24,Full,349
Mercedes-Benz,C-Class,19522,Automatic,2010,18.12.22,08.01.24,Full,255
Chevrolet,Impala,123910,Automatic,2005,06.01.23,01.02.24,Full,305
Chevrolet,Malibu,102515,Automatic,2004,12.12.22,04.01.24,Advanced,182
Chevrolet,Silverado,75584,Automatic,2023,01.12.22,12.12.23,Luxe,285
Ford,Mustang,192684,Automatic,2022,07.11.23,02.02.24,Full,300
BMW,3 Series,115892,Automatic,2017,04.11.23,30.01.24,Advanced,255
Mercedes-Benz,E-Class,122234,Automatic,2011,25.05.23,18.12.23,Full,255
Toyota,RAV4,178286,Automatic,2005,29.04.23,16.11.23,Base,203
Toyota,Prius,154157,Automatic,2019,29.09.23,29.11.23,Advanced,121
Mercedes-Benz,C-Class,187836,Manual,2006,26.09.23,19.01.24,Luxe,385
BMW,X3,17376,Automatic,2005,10.10.23,09.02.24,Advanced,382
Chevrolet,Silverado,56604,Automatic,2022,15.06.23,30.11.23,Full,355
Toyota,Prius,38142,Automatic,2018,14.02.23,27.01.24,Base,121
Chevrolet,Equinox,67229,Automatic,2020,13.01.23,01.02.24,Base,252
BMW,5 Series,55313,Manual,2012,20.12.22,24.01.24,Advanced,335
Ford,F-150,197566,Automatic,2019,05.08.23,31.01.24,Advanced,400
Audi,A6,148971,Automatic,2009,12.09.23,12.01.24,Luxe,335
Chevrolet,Silverado,132649,Automatic,2015,08.03.23,08.01.24,Base,355
BMW,3 Series,122723,Manual,2017,29.01.23,30.01.24,Base,255
BMW,5 Series,127139,Automatic,2016,15.04.23,05.12.23,Advanced,335
BMW,5 Series,151365,Automatic,2022,03.08.23,22.11.23,Luxe,248
Toyota,RAV4,34142,Automatic,2012,20.02.23,17.11.23,Base,203
Audi,A6,156756,Automatic,2010,26.09.23,20.01.24,Luxe,335
Ford,Mustang,116945,Automatic,2018,02.06.23,06.12.23,Base,300
BMW,X5,147600,Automatic,2012,23.06.23,15.01.24,Base,335
Mercedes-Benz,S-Class,33565,Automatic,2000,05.09.23,27.12.23,Luxe,463
Ford,Mustang,88426,Automatic,2010,20.01.23,10.02.24,Luxe,300
Ford,Fusion,142597,Automatic,2003,31.08.23,27.01.24,Base,188
BMW,3 Series,196606,Automatic,2009,27.01.23,19.12.23,Full,255
Audi,Q5,134355,Automatic,2013,22.01.23,20.12.23,Advanced,261
Mercedes-Benz,S-Class,36196,Automatic,2016,18.09.23,01.01.24,Luxe,463
BMW,X3,101324,Automatic,2011,30.05.23,27.01.24,Base,382
Ford,F-150,112346,Automatic,2018,29.08.23,25.12.23,Luxe,400
Audi,Q5,86228,Automatic,2000,26.08.23,27.11.23,Base,349
Mercedes-Benz,C-Class,181613,Manual,2017,19.05.23,14.01.24,Advanced,385
Toyota,Corolla,173557,Automatic,2016,29.12.22,06.12.23,Base,139
Chevrolet,Malibu,125074,Automatic,2005,03.04.23,27.12.23,Base,182
Toyota,RAV4,116282,Manual,2003,18.05.23,30.01.24,Full,203
Mercedes-Benz,C-Class,95706,Automatic,2020,05.03.23,15.01.24,Advanced,385
Toyota,RAV4,77072,Automatic,2007,04.04.23,13.12.23,Luxe,203
BMW,3 Series,168275,Automatic,2004,13.12.22,28.01.24,Base,382
Audi,A4,65029,Automatic,2020,02.12.22,16.11.23,Base,261
Toyota,Camry,98475,Automatic,2000,10.01.23,25.01.24,Base,301
Audi,A6,87795,Automatic,2014,23.07.23,15.01.24,Base,335
Toyota,Corolla,138237,Automatic,2015,19.02.23,26.12.23,Base,169
BMW,X5,28710,Automatic,2010,12.02.23,20.11.23,Base,456
Audi,Q5,127010,Automatic,2020,28.01.23,27.11.23,Advanced,349
