Car Make,Model,Mileage,Configuration,Year of Make,Primary Damage,Secondary Damage,Website Post Date,Sell Date,Estimated Price (USD),Options,Engine Type,Horsepower
Toyota,Corolla,40235,Manual,1968,,,2024-06-15 16:34:10.625472,2024-07-28 16:34:10.625472,10000.0,Advanced,2.0L I4,169
Mercedes-Benz,GLC,60649,Automatic,2023,,,2022-02-16 16:34:10.625485,,71263.28,Full,2.0L I4 Turbo,255
Audi,Q5,93295,Automatic,2016,,,2023-10-02 16:34:10.625498,2023-10-03 16:34:10.625498,15143.28,Full,3.0L V6,349
Mercedes-Benz,S-Class,13484,Automatic,2007,,,2022-08-02 16:34:10.625513,,18482.9,Full,4.0L V8,496
Toyota,Camry,151210,Manual,1994,,,2023-01-29 16:34:10.625526,2023-02-26 16:34:10.625526,10000.0,Base,2.5L I4,203
Mercedes-Benz,E-Class,18516,Automatic,1997,Roof,Rear,2024-02-24 16:34:10.625543,2024-04-04 16:34:10.625543,10000.0,Base,2.0L I4 Turbo,255
Mercedes-Benz,GLA,103203,Automatic,2013,,,2023-05-02 16:34:10.625556,,10000.0,Advanced,2.0L I4 Turbo,221
Mercedes-Benz,C-Class,170162,Automatic,2004,Front,,2023-10-20 16:34:10.625570,,10000.0,Full,2.0L I4 Turbo,255
Audi,A4,77243,Automatic,2015,,,2022-08-29 16:34:10.625582,,15000.0,Base,2.0L I4 Turbo,261
Mercedes-Benz,GLC,161149,Automatic,2018,Front,,2024-02-16 16:34:10.625596,2024-03-24 16:34:10.625596,10000.0,Base,2.0L I4 Turbo,255
Toyota,Tacoma,182839,Automatic,2006,Roof,Front,2024-05-13 16:34:10.625612,,10000.0,Advanced,3.5L V6,278
Toyota,Tacoma,175497,Automatic,2009,Rear,,2023-03-23 16:34:10.625623,,10000.0,Advanced,3.5L V6,278
Mercedes-Benz,GLA,14247,Automatic,2021,,,2023-11-16 16:34:10.625635,2023-12-02 16:34:10.625635,36496.94,Advanced,2.0L I4 Turbo,221
Audi,A8,162586,Automatic,2015,Front,,2023-04-23 16:34:10.625657,2023-06-10 16:34:10.625657,19479.300000000003,Luxe,4.0L V8,563
Mercedes-Benz,S-Class,112295,Automatic,2021,,,2024-03-10 16:34:10.625676,,56990.52,Advanced,3.0L I6 Turbo,429
Mercedes-Benz,E-Class,99317,Automatic,2000,,,2024-09-17 16:34:10.625690,2024-10-15 16:34:10.625690,10755.02,Full,3.0L I6 Turbo,362
Audi,A6,32617,Automatic,1997,,,2024-01-13 16:34:10.625703,2024-03-13 16:34:10.625703,15399.72,Base,3.0L V6 Turbo,335
Mercedes-Benz,GLA,173626,Automatic,2017,Front,,2024-04-19 16:34:10.625719,,10000.0,Luxe,2.0L I4 Turbo,221
Audi,A4,65244,Automatic,1996,Front,,2024-06-03 16:34:10.625733,2024-06-11 16:34:10.625733,15000.0,Luxe,2.0L I4 Turbo,261
Mercedes-Benz,GLC,66363,Automatic,2019,,,2022-08-14 16:34:10.625746,,13964.88,Advanced,2.0L I4 Turbo,255
Toyota,Camry,83426,Automatic,2018,,,2022-03-04 16:34:10.625762,,10000.0,Base,3.5L V6,301
Mercedes-Benz,S-Class,26378,Automatic,1992,Front,,2024-06-11 16:34:10.625785,,12658.82,Advanced,4.0L V8,496
Audi,A4,157991,Automatic,1995,,,2024-02-10 16:34:10.625800,,15000.0,Luxe,2.0L I4 Turbo,261
Toyota,Camry,127449,Automatic,1986,,,2023-09-27 16:34:10.625811,,10000.0,Base,2.5L I4,203
Toyota,RAV4,159708,Automatic,2003,,,2022-09-22 16:34:10.625823,,10000.0,Luxe,2.5L I4,203
Toyota,Corolla,101280,Automatic,1990,,,2023-06-03 16:34:10.625834,,10000.0,Advanced,1.8L I4,139
Mercedes-Benz,C-Class,78353,Automatic,1994,,,2024-09-11 16:34:10.625846,2024-09-17 16:34:10.625846,10000.0,Base,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,20444,Automatic,2005,Rear,,2023-02-13 16:34:10.625865,,10000.0,Full,2.0L I4 Turbo,255
Toyota,Highlander,140417,Automatic,2008,,,2022-12-07 16:34:10.625884,2023-01-22 16:34:10.625884,10000.0,Base,3.5L V6,295
Toyota,Corolla,124674,Automatic,2014,Rear,,2022-12-11 16:34:10.625903,2023-01-24 16:34:10.625903,10000.0,Base,2.0L I4,169
Toyota,Highlander,69528,Automatic,2017,Side,,2023-06-27 16:34:10.625923,,10000.0,Base,3.5L V6,295
Toyota,RAV4,111112,Automatic,2008,Rear,,2022-10-15 16:34:10.625940,2022-12-03 16:34:10.625940,10000.0,Luxe,2.5L I4,203
Toyota,Highlander,20783,Automatic,2009,,,2022-03-24 16:34:10.625955,,10000.0,Luxe,3.5L V6,295
Toyota,Tacoma,155360,Automatic,2003,,,2024-08-27 16:34:10.625972,,10000.0,Full,2.7L I4,159
Toyota,RAV4,103626,Automatic,1997,,,2024-08-29 16:34:10.625992,2024-09-19 16:34:10.625992,10000.0,Advanced,2.5L I4,203
Audi,Q5,15034,Automatic,2021,,,2024-05-29 16:34:10.626011,2024-06-05 16:34:10.626011,73751.4,Full,3.0L V6,349
Toyota,Highlander,29902,Automatic,2003,,,2023-12-27 16:34:10.626027,,10000.0,Advanced,3.5L V6,295
Mercedes-Benz,GLC,65838,Automatic,2023,,,2022-09-25 16:34:10.626039,,66155.48,Advanced,2.0L I4 Turbo,255
Toyota,Corolla,147521,Automatic,1967,,,2024-01-23 16:34:10.626051,2024-02-10 16:34:10.626051,10000.0,Full,1.8L I4,139
Audi,Q5,159352,Automatic,2018,,,2024-08-23 16:34:10.626064,2024-09-17 16:34:10.626064,15000.0,Full,2.0L I4 Turbo,261
Audi,Q5,52315,Automatic,2013,Rear,,2023-11-09 16:34:10.626083,,15000.0,Luxe,2.0L I4 Turbo,261
Toyota,Tacoma,137097,Manual,1995,Rear,,2023-08-16 16:34:10.626094,,10000.0,Advanced,2.7L I4,159
Audi,A6,104476,Automatic,2004,,,2023-06-05 16:34:10.626105,,15000.0,Advanced,2.0L I4 Turbo,248
Audi,A8,165909,Automatic,2004,,,2024-02-26 16:34:10.626116,,21518.97,Full,4.0L V8,563
Mercedes-Benz,E-Class,44487,Automatic,1998,,,2023-03-02 16:34:10.626128,2023-03-15 16:34:10.626128,13462.62,Luxe,2.0L I4 Turbo,255
Audi,Q5,127873,Automatic,2008,,,2024-09-17 16:34:10.626141,2024-11-11 16:34:10.626141,15000.0,Base,3.0L V6,349
Toyota,Highlander,183989,Automatic,2020,,,2023-01-01 16:34:10.626154,,15376.3,Base,3.5L V6,295
Mercedes-Benz,GLC,179333,Automatic,2022,,,2023-06-01 16:34:10.626166,2023-07-04 16:34:10.626166,42543.84,Advanced,2.0L I4 Turbo,255
Toyota,Highlander,191540,Automatic,2010,Rear,,2023-01-05 16:34:10.626179,,10000.0,Luxe,2.5L I4 Hybrid,243
Audi,A8,115456,Automatic,2011,,,2024-05-27 16:34:10.626191,2024-05-31 16:34:10.626191,23042.010000000002,Advanced,3.0L V6 Turbo,335
Audi,Q5,91801,Automatic,2019,,,2024-04-01 16:34:10.626204,2024-04-13 16:34:10.626204,24289.59,Luxe,2.0L I4 Turbo,261
Audi,A4,58478,Automatic,1994,,,2024-03-14 16:34:10.626219,2024-03-26 16:34:10.626219,15000.0,Advanced,2.0L I4 Turbo,261
Audi,A4,178764,Manual,2015,Rear,,2022-10-23 16:34:10.626245,,15000.0,Advanced,2.0L I4 Turbo,261
Audi,A4,136864,Automatic,2013,,,2022-09-18 16:34:10.626259,,15000.0,Full,2.0L I4 Turbo,261
Audi,A8,67836,Automatic,2002,,,2022-11-24 16:34:10.626271,2023-01-16 16:34:10.626271,22632.300000000003,Base,3.0L V6 Turbo,335
Toyota,Highlander,19344,Manual,2016,,,2023-09-06 16:34:10.626286,2023-09-12 16:34:10.626286,10000.0,Luxe,3.5L V6,295
Toyota,Highlander,150684,Automatic,2007,,,2022-11-19 16:34:10.626298,,10000.0,Luxe,2.5L I4 Hybrid,243
Audi,A6,30369,Automatic,1994,,,2024-09-21 16:34:10.626309,,16583.760000000002,Base,2.0L I4 Turbo,248
Mercedes-Benz,C-Class,67230,Automatic,2020,,,2022-12-09 16:34:10.626321,2023-01-18 16:34:10.626321,24546.08,Advanced,2.0L I4 Turbo,255
Toyota,Tacoma,89540,Automatic,2011,,,2023-10-30 16:34:10.626334,2023-11-12 16:34:10.626334,10000.0,Base,2.7L I4,159
Mercedes-Benz,GLC,17280,Automatic,2022,,,2024-05-13 16:34:10.626347,2024-06-28 16:34:10.626347,51883.68,Base,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,31510,Automatic,2000,,,2022-07-26 16:34:10.626361,,11112.92,Advanced,3.0L I6 Turbo,362
Toyota,RAV4,41615,Automatic,2017,,,2022-06-24 16:34:10.626373,2022-08-03 16:34:10.626373,10000.0,Luxe,2.5L I4,203
Mercedes-Benz,GLA,103528,Automatic,2020,,,2022-06-02 16:34:10.626386,,22163.42,Luxe,2.0L I4 Turbo,221
Toyota,Camry,197939,Automatic,2020,Front,,2023-03-21 16:34:10.626398,,10000.0,Full,3.5L V6,301
Audi,A6,122818,Automatic,2020,Side,,2023-11-10 16:34:10.626412,2023-12-02 16:34:10.626412,32702.52,Advanced,2.0L I4 Turbo,248
Mercedes-Benz,S-Class,15108,Automatic,1987,,,2022-10-29 16:34:10.626434,2022-12-23 16:34:10.626434,18946.44,Luxe,3.0L I6 Turbo,429
Mercedes-Benz,E-Class,45720,Automatic,2017,,,2023-02-23 16:34:10.626452,2023-03-04 16:34:10.626452,10475.54,Advanced,2.0L I4 Turbo,255
Toyota,RAV4,107762,Automatic,2010,,,2022-08-15 16:34:10.626465,2022-09-25 16:34:10.626465,10000.0,Full,2.5L I4,203
Toyota,Camry,8466,Automatic,1998,,,2024-10-24 16:34:10.626486,2024-11-03 16:34:10.626486,10000.0,Advanced,2.5L I4,203
Audi,A4,194296,Automatic,2005,Rear,,2024-07-06 16:34:10.626504,2024-07-10 16:34:10.626504,15000.0,Advanced,2.0L I4 Turbo,261
Audi,A8,118850,Automatic,2016,,,2024-02-29 16:34:10.626516,2024-03-19 16:34:10.626516,21981.06,Advanced,3.0L V6 Turbo,335
Audi,A8,111126,Automatic,2016,,,2023-09-21 16:34:10.626530,,25901.010000000002,Luxe,4.0L V8,563
Toyota,Camry,176420,Automatic,2023,Front,,2022-06-15 16:34:10.626543,2022-08-08 16:34:10.626543,21897.82,Advanced,3.5L V6,301
Mercedes-Benz,C-Class,88474,Automatic,2001,,,2023-04-01 16:34:10.626557,2023-05-29 16:34:10.626557,10000.0,Full,2.0L I4 Turbo,255
Mercedes-Benz,GLA,92926,Automatic,2019,Rear,,2023-02-07 16:34:10.626569,2023-02-17 16:34:10.626569,10000.0,Base,2.0L I4 Turbo,221
Audi,A6,70214,Automatic,2001,,,2024-06-06 16:34:10.626582,,16762.62,Full,3.0L V6 Turbo,335
Toyota,Corolla,72485,Automatic,1977,,,2022-08-18 16:34:10.626594,2022-09-14 16:34:10.626594,10000.0,Advanced,1.8L I4,139
Audi,Q7,108998,Automatic,2005,,,2023-12-05 16:34:10.626606,2023-12-31 16:34:10.626606,17986.38,Full,2.0L I4 Turbo,248
Mercedes-Benz,S-Class,145568,Automatic,1973,,,2023-07-04 16:34:10.626620,2023-08-21 16:34:10.626620,14671.1,Full,3.0L I6 Turbo,429
Mercedes-Benz,GLC,186711,Automatic,2023,Rear,,2024-10-15 16:34:10.626636,2024-12-13 16:34:10.626636,51038.3,Luxe,2.0L I4 Turbo,255
Audi,Q5,188116,Manual,2018,,,2023-02-03 16:34:10.626649,2023-02-16 16:34:10.626649,15000.0,Base,3.0L V6,349
Mercedes-Benz,GLC,111125,Automatic,2019,,,2022-02-19 16:34:10.626662,,13118.04,Full,2.0L I4 Turbo,255
Mercedes-Benz,GLA,141109,Automatic,2022,,,2023-08-29 16:34:10.626674,2023-10-17 16:34:10.626674,33831.92,Base,2.0L I4 Turbo,221
Mercedes-Benz,C-Class,57004,Automatic,2012,,,2024-03-25 16:34:10.626687,2024-05-18 16:34:10.626687,10000.0,Base,2.0L I4 Turbo,255
Toyota,RAV4,134574,Automatic,2011,,,2022-11-16 16:34:10.626702,2022-11-26 16:34:10.626702,10000.0,Luxe,2.5L I4,203
Audi,A8,33699,Automatic,2021,,,2022-10-10 16:34:10.626722,,140134.02,Full,3.0L V6 Turbo,335
Audi,Q5,47846,Automatic,2023,Front,,2023-09-20 16:34:10.626739,2023-09-24 16:34:10.626739,82034.25,Base,2.0L I4 Turbo,261
Toyota,RAV4,40272,Automatic,1997,,,2024-01-22 16:34:10.626752,,10000.0,Full,2.5L I4,203
Toyota,Highlander,133856,Automatic,2018,Rear,,2023-11-08 16:34:10.626763,,10000.0,Full,3.5L V6,295
Mercedes-Benz,GLA,97105,Automatic,2015,,,2024-02-09 16:34:10.626774,2024-03-05 16:34:10.626774,10000.0,Advanced,2.0L I4 Turbo,221
Audi,Q5,182811,Automatic,2021,,,2022-03-16 16:34:10.626787,2022-04-11 16:34:10.626787,55233.509999999995,Full,3.0L V6,349
Mercedes-Benz,GLC,129369,Automatic,2018,,,2023-08-08 16:34:10.626800,2023-10-02 16:34:10.626800,10000.0,Luxe,2.0L I4 Turbo,255
Toyota,Tacoma,157942,Manual,2013,Rear,,2022-05-23 16:34:10.626815,,10000.0,Advanced,3.5L V6,278
Audi,A6,31757,Automatic,2001,,,2024-01-27 16:34:10.626826,2024-02-01 16:34:10.626826,19959.36,Full,2.0L I4 Turbo,248
Mercedes-Benz,S-Class,46951,Automatic,2005,,,2022-02-16 16:34:10.626843,2022-03-20 16:34:10.626843,16574.92,Advanced,4.0L V8,496
Mercedes-Benz,E-Class,176800,Automatic,2000,,,2023-01-29 16:34:10.626866,,10000.0,Full,2.0L I4 Turbo,255
Audi,A8,25651,Automatic,2015,Front,,2023-08-18 16:34:10.626879,2023-10-13 16:34:10.626879,20526.15,Base,3.0L V6 Turbo,335
Audi,Q5,96236,Manual,2013,Rear,,2024-10-06 16:34:10.626893,2024-11-16 16:34:10.626893,15000.0,Luxe,3.0L V6,349
Toyota,Camry,30018,Manual,1987,Front,Side,2022-04-16 16:34:10.626908,,10000.0,Advanced,3.5L V6,301
Audi,A6,146580,Automatic,2023,,,2022-11-20 16:34:10.626919,,124277.40000000001,Luxe,3.0L V6 Turbo,335
Mercedes-Benz,C-Class,102909,Automatic,2023,,,2023-07-11 16:34:10.626932,,48149.6,Base,2.0L I4 Turbo,255
Toyota,Tacoma,72099,Automatic,2015,,,2024-06-03 16:34:10.626949,2024-08-02 16:34:10.626949,10000.0,Full,2.7L I4,159
Mercedes-Benz,GLC,197034,Automatic,2018,,,2023-05-01 16:34:10.626970,2023-05-02 16:34:10.626970,10000.0,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,GLA,173478,Automatic,2019,Rear,,2023-01-04 16:34:10.626995,2023-02-06 16:34:10.626995,10000.0,Full,2.0L I4 Turbo,221
Toyota,Camry,134738,Automatic,2001,Roof,,2023-06-08 16:34:10.627011,,10000.0,Full,2.5L I4,203
Audi,A4,141287,Automatic,2017,,,2023-11-25 16:34:10.627022,,15000.0,Advanced,2.0L I4 Turbo,261
Mercedes-Benz,C-Class,27205,Automatic,2011,Side,,2023-12-03 16:34:10.627037,2023-12-21 16:34:10.627037,10000.0,Advanced,2.0L I4 Turbo,255
Mercedes-Benz,C-Class,185724,Automatic,1994,,,2023-03-20 16:34:10.627058,2023-04-14 16:34:10.627058,10000.0,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,GLC,143267,Automatic,2015,,,2023-01-19 16:34:10.627097,,10000.0,Base,2.0L I4 Turbo,255
Mercedes-Benz,S-Class,195706,Automatic,1992,,,2022-04-22 16:34:10.627118,,12098.56,Advanced,4.0L V8,496
Audi,A8,188561,Automatic,2017,,,2024-10-29 16:34:10.627140,,21551.88,Full,3.0L V6 Turbo,335
Audi,Q5,82414,Automatic,2011,,,2023-03-26 16:34:10.627160,2023-04-02 16:34:10.627160,16860.63,Luxe,2.0L I4 Turbo,261
Mercedes-Benz,GLA,81257,Automatic,2015,,,2022-08-29 16:34:10.627183,,10000.0,Full,2.0L I4 Turbo,221
Toyota,Highlander,85743,Automatic,2000,Rear,,2023-04-29 16:34:10.627203,2023-05-22 16:34:10.627203,10000.0,Base,2.5L I4 Hybrid,243
Audi,A4,164465,Automatic,2013,Rear,,2024-04-05 16:34:10.627218,,15000.0,Luxe,2.0L I4 Turbo,261
Audi,A6,150623,Manual,2019,,,2023-05-14 16:34:10.627230,,22221.329999999998,Luxe,2.0L I4 Turbo,248
Mercedes-Benz,GLA,89637,Automatic,2018,Front,,2024-04-01 16:34:10.627243,2024-05-28 16:34:10.627243,10000.0,Base,2.0L I4 Turbo,221
Toyota,Corolla,198991,Automatic,1985,,,2023-05-29 16:34:10.627256,,10000.0,Luxe,2.0L I4,169
Toyota,RAV4,155972,Automatic,2017,,,2023-07-13 16:34:10.627267,2023-08-19 16:34:10.627267,10000.0,Base,2.5L I4,203
Mercedes-Benz,GLC,42227,Automatic,2015,,,2022-04-18 16:34:10.627279,2022-05-16 16:34:10.627279,11473.24,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,GLA,146433,Automatic,2018,Rear,,2024-09-09 16:34:10.627293,2024-10-24 16:34:10.627293,10000.0,Advanced,2.0L I4 Turbo,221
Toyota,Camry,82556,Automatic,2019,Roof,,2022-09-01 16:34:10.627313,,10000.0,Advanced,3.5L V6,301
Audi,A4,40895,Automatic,2007,,,2023-04-30 16:34:10.627330,,15224.28,Luxe,2.0L I4 Turbo,261
Mercedes-Benz,S-Class,167121,Automatic,1995,Front,,2022-05-03 16:34:10.627345,2022-06-16 16:34:10.627345,10915.08,Luxe,4.0L V8,496
Mercedes-Benz,GLA,115151,Automatic,2013,,,2022-08-22 16:34:10.627358,,10000.0,Full,2.0L I4 Turbo,221
Mercedes-Benz,GLC,65123,Automatic,2021,,,2022-09-12 16:34:10.627369,2022-11-06 16:34:10.627369,36552.8,Base,2.0L I4 Turbo,255
Toyota,Tacoma,158038,Automatic,2006,,,2023-03-04 16:34:10.627383,,10000.0,Full,3.5L V6,278
Audi,A4,93511,Automatic,1996,Front,,2022-08-14 16:34:10.627394,2022-09-22 16:34:10.627394,15000.0,Base,2.0L I4 Turbo,261
Toyota,Camry,92956,Automatic,2021,Front,,2023-10-11 16:34:10.627407,,16438.28,Advanced,2.5L I4,203
Audi,A8,156469,Manual,2014,,,2023-07-08 16:34:10.627420,,22132.98,Full,4.0L V8,563
Toyota,Corolla,42944,Automatic,1984,,,2024-10-09 16:34:10.627432,,10000.0,Base,1.8L I4,139
Mercedes-Benz,GLA,35130,Automatic,2016,Front,,2023-02-27 16:34:10.627443,2023-03-05 16:34:10.627443,10000.0,Full,2.0L I4 Turbo,221
Mercedes-Benz,GLC,136018,Automatic,2019,,,2024-05-27 16:34:10.627455,2024-07-19 16:34:10.627455,11216.54,Base,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,50631,Automatic,2000,,,2023-07-27 16:34:10.627469,,11994.58,Luxe,2.0L I4 Turbo,255
Audi,Q5,98333,Automatic,2023,,,2023-06-01 16:34:10.627480,,100967.54999999999,Advanced,2.0L I4 Turbo,261
Mercedes-Benz,C-Class,118850,Automatic,2009,,,2024-09-23 16:34:10.627497,2024-11-04 16:34:10.627497,10000.0,Advanced,2.0L I4 Turbo,255
Toyota,Camry,48493,Automatic,2005,Front,,2023-06-12 16:34:10.627531,2023-07-05 16:34:10.627531,10000.0,Full,3.5L V6,301
Audi,A6,133556,Automatic,2011,,,2022-05-19 16:34:10.627555,,15547.89,Full,3.0L V6 Turbo,335
Audi,A8,131723,Automatic,2003,Front,,2023-08-09 16:34:10.627572,,16247.07,Base,3.0L V6 Turbo,335
Mercedes-Benz,C-Class,45825,Automatic,2008,,,2023-09-08 16:34:10.627586,2023-10-09 16:34:10.627586,10000.0,Full,2.0L I4 Turbo,255
Mercedes-Benz,S-Class,31285,Automatic,2010,,,2023-03-03 16:34:10.627606,2023-03-30 16:34:10.627606,14792.68,Base,3.0L I6 Turbo,429
Toyota,RAV4,34910,Automatic,2011,,,2024-06-12 16:34:10.627621,,10000.0,Base,2.5L I4,203
Toyota,Tacoma,197406,Automatic,2014,,,2022-09-21 16:34:10.627637,,10000.0,Base,2.7L I4,159
Audi,Q7,173557,Automatic,2014,,,2023-10-20 16:34:10.627654,,15669.24,Luxe,2.0L I4 Turbo,248
Mercedes-Benz,S-Class,11678,Automatic,1980,Side,,2022-12-15 16:34:10.627666,,11570.52,Base,3.0L I6 Turbo,429
Audi,A8,39090,Automatic,2020,,,2022-07-18 16:34:10.627678,2022-08-29 16:34:10.627678,102752.70000000001,Luxe,4.0L V8,563
Mercedes-Benz,E-Class,52635,Automatic,2006,,,2024-05-27 16:34:10.627691,2024-06-07 16:34:10.627691,11538.96,Luxe,2.0L I4 Turbo,255
Audi,Q5,99203,Automatic,2015,,,2023-03-20 16:34:10.627704,,15000.0,Base,3.0L V6,349
Toyota,Camry,63937,Automatic,2010,Rear,Rear,2023-02-27 16:34:10.627718,2023-04-19 16:34:10.627718,10000.0,Luxe,3.5L V6,301
Toyota,Tacoma,131832,Automatic,2016,Roof,,2022-07-14 16:34:10.627730,2022-09-09 16:34:10.627730,10000.0,Base,2.7L I4,159
Mercedes-Benz,S-Class,5101,Automatic,2008,Front,,2022-09-26 16:34:10.627745,2022-11-19 16:34:10.627745,14050.54,Full,3.0L I6 Turbo,429
Audi,A8,165454,Automatic,2015,,,2024-11-06 16:34:10.627766,2024-12-02 16:34:10.627766,20428.62,Advanced,3.0L V6 Turbo,335
Toyota,RAV4,188800,Manual,2020,Front,,2024-07-25 16:34:10.627786,2024-09-22 16:34:10.627786,12152.2,Luxe,2.5L I4,203
Toyota,Highlander,40047,Automatic,2010,Side,Roof,2024-07-04 16:34:10.627802,,10000.0,Full,2.5L I4 Hybrid,243
Toyota,RAV4,96015,Automatic,2015,Rear,Side,2022-08-20 16:34:10.627815,2022-10-10 16:34:10.627815,10000.0,Advanced,2.5L I4,203
Toyota,Tacoma,107886,Automatic,2013,,,2022-11-17 16:34:10.627828,,10000.0,Luxe,3.5L V6,278
Mercedes-Benz,C-Class,72947,Automatic,2018,Front,,2023-07-21 16:34:10.627838,2023-08-31 16:34:10.627838,10000.0,Base,2.0L I4 Turbo,255
Toyota,Tacoma,29049,Automatic,2006,,,2023-04-09 16:34:10.627850,2023-05-14 16:34:10.627850,10000.0,Advanced,3.5L V6,278
Mercedes-Benz,GLC,192093,Automatic,2020,Front,,2023-12-20 16:34:10.627863,,16238.88,Advanced,2.0L I4 Turbo,255
Mercedes-Benz,GLC,132556,Automatic,2018,,,2022-10-10 16:34:10.627877,2022-12-04 16:34:10.627877,10000.0,Luxe,2.0L I4 Turbo,255
Toyota,Camry,22454,Automatic,1999,Rear,,2023-01-19 16:34:10.627891,2023-01-20 16:34:10.627891,10000.0,Advanced,3.5L V6,301
Toyota,Highlander,190503,Automatic,2016,,,2022-02-13 16:34:10.627903,2022-04-02 16:34:10.627903,10000.0,Advanced,3.5L V6,295
Mercedes-Benz,S-Class,69420,Automatic,1996,,,2024-02-27 16:34:10.627920,,15702.82,Full,4.0L V8,496
Mercedes-Benz,E-Class,87078,Automatic,2021,,,2024-04-10 16:34:10.627939,2024-06-02 16:34:10.627939,39851.28,Base,3.0L I6 Turbo,362
Mercedes-Benz,C-Class,193176,Automatic,2022,Front,,2024-02-02 16:34:10.627957,2024-02-03 16:34:10.627957,28834.92,Advanced,2.0L I4 Turbo,255
Mercedes-Benz,S-Class,12885,Automatic,2008,,,2022-06-24 16:34:10.627971,,18890.16,Luxe,4.0L V8,496
Audi,A8,143554,Automatic,1997,Roof,,2022-03-30 16:34:10.627983,2022-04-17 16:34:10.627983,20034.57,Full,3.0L V6 Turbo,335
Toyota,Corolla,64641,Automatic,1967,,,2022-11-07 16:34:10.627997,,10000.0,Luxe,1.8L I4,139
Toyota,Tacoma,133402,Automatic,2021,,,2023-04-29 16:34:10.628008,2023-05-24 16:34:10.628008,28650.48,Full,2.7L I4,159
Mercedes-Benz,E-Class,164342,Automatic,2012,Side,,2022-07-04 16:34:10.628029,2022-08-06 16:34:10.628029,10000.0,Advanced,2.0L I4 Turbo,255
Audi,Q7,161042,Automatic,2006,Front,,2023-06-16 16:34:10.628049,2023-08-10 16:34:10.628049,15000.0,Full,2.0L I4 Turbo,248
Audi,Q7,34447,Automatic,2007,,,2024-03-29 16:34:10.628066,,22364.19,Luxe,3.0L V6 Turbo,335
Mercedes-Benz,GLC,106950,Automatic,2020,,,2024-10-31 16:34:10.628085,,20773.02,Base,2.0L I4 Turbo,255
Audi,Q5,22059,Automatic,2015,,,2023-12-22 16:34:10.628100,2024-01-06 16:34:10.628100,17219.64,Full,3.0L V6,349
Audi,A8,27349,Automatic,2005,Side,,2024-09-20 16:34:10.628117,2024-11-12 16:34:10.628117,25980.78,Luxe,3.0L V6 Turbo,335
Toyota,Tacoma,77467,Automatic,2023,Rear,,2024-03-20 16:34:10.628138,2024-04-27 16:34:10.628138,41163.3,Full,3.5L V6,278
Toyota,RAV4,170148,Automatic,2013,,,2023-02-05 16:34:10.628155,2023-04-05 16:34:10.628155,10000.0,Advanced,2.5L I4,203
Audi,Q5,119150,Automatic,2022,Front,,2022-12-23 16:34:10.628170,,56628.96,Advanced,2.0L I4 Turbo,261
Toyota,Camry,172065,Automatic,1984,,,2023-01-12 16:34:10.628182,,10000.0,Full,3.5L V6,301
Toyota,Corolla,149240,Automatic,2016,,,2024-08-15 16:34:10.628197,,10000.0,Full,1.8L I4,139
Toyota,Camry,85587,Automatic,1991,,,2022-06-09 16:34:10.628214,,10000.0,Luxe,3.5L V6,301
