Car_make,Model,Mileage,Transmission,Year,Website_post_date,Sell_date,Options,Horsepower,Color,Damage,Body_style,Fuel_type,Num_of_prev_owners,Estimated_price
BMW,X3,69589,Automatic,2010,12.09.23,19.11.23,Full,248,red,Low,Sedan,Plug-in Hybrid,2,34982
Ford,F-150,166431,Automatic,2012,30.06.23,25.01.24,Base,400,silver,Total,Hatchback,Electric,1,37194
Ford,Mustang,186283,Automatic,2004,24.02.23,28.01.24,Full,300,red,None,Sedan,Diesel,5,8927
Ford,Fusion,176422,Automatic,2005,20.06.23,12.01.24,Luxe,188,red,None,Convertible,Gasoline,3,102548
BMW,5 Series,73619,Automatic,2019,20.12.22,28.12.23,Advanced,248,silver,Low,Hatchback,Diesel,5,114404
Audi,Q5,124972,Automatic,2001,15.02.23,07.01.24,Base,261,blue,Total,Truck,Gasoline,5,78528
Toyota,Prius,31860,Manual,2012,29.03.23,23.01.24,Advanced,121,silver,Medium,Truck,Plug-in Hybrid,1,77084
Chevrolet,Silverado,105187,Automatic,2021,16.01.23,06.12.23,Luxe,355,red,Total,Hatchback,Hybrid,2,56217
Audi,Q5,20633,Automatic,2007,21.02.23,11.01.24,Full,349,white,Medium,SUV,Hybrid,2,58300
Toyota,Prius,23953,Automatic,2010,15.05.23,07.12.23,Base,121,white,None,Truck,Electric,3,119379
Audi,Q5,91126,Automatic,2004,25.09.23,10.12.23,Full,349,beige,Total,Convertible,Gasoline,5,19505
Mercedes-Benz,E-Class,127520,Automatic,2008,09.12.22,27.11.23,Advanced,362,beige,None,Hatchback,Diesel,2,6891
Chevrolet,Malibu,94287,Automatic,2006,12.05.23,04.01.24,Full,250,red,Medium,Sedan,Diesel,1,119074
Mercedes-Benz,C-Class,197224,Automatic,2004,12.10.23,03.12.23,Advanced,255,silver,Total,Sedan,Plug-in Hybrid,1,21459
Ford,Explorer,186894,Automatic,2013,26.07.23,16.01.24,Base,300,black,None,Convertible,Hybrid,4,57960
BMW,3 Series,148153,Automatic,2000,01.08.23,11.12.23,Base,382,red,None,Sedan,Hybrid,1,109591
Mercedes-Benz,GLC,25503,Automatic,2015,26.12.22,16.11.23,Advanced,362,red,Low,Sedan,Gasoline,2,21406
Audi,A6,163912,Automatic,2007,26.02.23,17.01.24,Advanced,335,black,Total,SUV,Hybrid,2,94967
Ford,F-150,96948,Automatic,2011,12.09.23,17.11.23,Advanced,400,red,Medium,Wagon,Gasoline,5,17293
Toyota,Prius,141600,Automatic,2018,01.10.23,16.01.24,Advanced,121,white,Total,Van,Diesel,5,65421
BMW,3 Series,121637,Automatic,2002,07.01.23,25.12.23,Full,382,blue,None,SUV,Hybrid,2,29639
Audi,A4,107672,Automatic,2018,16.06.23,03.12.23,Advanced,261,blue,Total,Van,Electric,1,42409
BMW,X5,110010,Automatic,2008,09.08.23,30.12.23,Full,335,blue,Low,Van,Electric,2,108490
Ford,Fusion,153480,Manual,2003,22.09.23,13.12.23,Advanced,325,blue,Medium,SUV,Hybrid,4,59381
Mercedes-Benz,E-Class,10246,Automatic,2006,13.09.23,15.01.24,Full,362,red,None,Wagon,Electric,2,60071
Audi,Q5,183680,Automatic,2010,12.12.22,13.02.24,Advanced,261,beige,Medium,SUV,Gasoline,1,52238
Ford,Mustang,199025,Automatic,2004,18.05.23,29.12.23,Base,450,beige,Total,Wagon,Hybrid,2,46431
BMW,X3,45311,Automatic,2017,13.02.23,24.11.23,Base,248,silver,Low,SUV,Plug-in Hybrid,4,40423
Chevrolet,Silverado,129290,Manual,2008,26.11.22,05.02.24,Base,355,red,Total,SUV,Hybrid,4,31026
BMW,X5,134713,Automatic,2006,23.02.23,07.01.24,Full,335,blue,None,Wagon,Hybrid,3,25862
Audi,Q5,15443,Automatic,2019,10.08.23,03.01.24,Luxe,349,silver,Low,Hatchback,Plug-in Hybrid,4,85679
Ford,Fusion,112671,Automatic,2010,01.06.23,27.11.23,Luxe,325,red,Low,SUV,Electric,1,59289
Toyota,Camry,24251,Automatic,2007,01.03.23,30.01.24,Base,203,silver,Medium,Wagon,Hybrid,4,113711
BMW,X5,53316,Automatic,2019,07.07.23,05.12.23,Advanced,456,black,None,Hatchback,Plug-in Hybrid,1,32754
Ford,Mustang,170977,Automatic,2014,09.03.23,13.12.23,Luxe,450,blue,None,Hatchback,Plug-in Hybrid,3,70617
Chevrolet,Malibu,187707,Automatic,2016,08.01.23,15.01.24,Base,182,white,Low,Coupe,Electric,2,36723
Chevrolet,Equinox,133803,Automatic,2003,26.04.23,26.01.24,Advanced,170,white,Medium,Wagon,Electric,5,56955
Audi,A6,141643,Automatic,2011,01.04.23,27.01.24,Full,335,blue,Medium,Van,Plug-in Hybrid,4,16419
Toyota,Corolla,102677,Automatic,2015,01.11.23,09.12.23,Full,139,beige,None,Sedan,Diesel,4,7550
Ford,F-150,157489,Automatic,2004,30.12.22,10.02.24,Advanced,400,blue,Medium,Wagon,Electric,5,109044
Mercedes-Benz,GLC,192812,Automatic,2006,28.05.23,17.12.23,Base,255,blue,Low,SUV,Gasoline,2,108976
Chevrolet,Impala,192086,Manual,2023,26.02.23,07.02.24,Base,305,black,Total,Hatchback,Electric,3,33195
BMW,X5,12987,Automatic,2002,28.09.23,25.01.24,Advanced,456,black,Low,Hatchback,Gasoline,3,96346
Mercedes-Benz,E-Class,124321,Automatic,2022,16.04.23,16.11.23,Luxe,255,black,Total,Coupe,Electric,3,81323
Ford,F-150,13703,Automatic,2000,17.10.23,25.12.23,Base,400,black,None,Hatchback,Electric,4,46674
Chevrolet,Malibu,21169,Automatic,2019,24.09.23,24.11.23,Luxe,250,red,Medium,Sedan,Electric,4,39074
Mercedes-Benz,C-Class,161583,Automatic,2015,10.09.23,31.12.23,Base,385,blue,Total,Sedan,Hybrid,5,43821
Toyota,RAV4,172175,Automatic,2008,22.08.23,14.01.24,Advanced,219,silver,Total,Truck,Plug-in Hybrid,4,117974
Toyota,Prius,146020,Automatic,2006,04.04.23,12.12.23,Luxe,121,black,Total,SUV,Gasoline,1,83880
Mercedes-Benz,S-Class,55767,Automatic,2000,10.11.23,24.01.24,Full,463,red,Medium,Hatchback,Gasoline,4,18370
Mercedes-Benz,S-Class,69142,Automatic,2014,03.05.23,29.12.23,Full,362,black,Total,Hatchback,Electric,4,30208
Chevrolet,Silverado,115228,Automatic,2015,14.12.22,18.01.24,Advanced,285,red,None,Coupe,Plug-in Hybrid,5,31797
Toyota,RAV4,27708,Automatic,2006,01.06.23,15.01.24,Luxe,219,red,Low,Hatchback,Electric,5,8203
Audi,Q5,187457,Automatic,2023,26.01.23,27.01.24,Luxe,261,white,None,Sedan,Gasoline,4,22847
Toyota,Corolla,73253,Automatic,2020,11.03.23,04.02.24,Full,169,blue,Medium,SUV,Electric,3,97512
Ford,Fusion,42996,Automatic,2018,30.11.22,16.12.23,Full,325,black,Low,SUV,Electric,4,70198
Mercedes-Benz,C-Class,44902,Automatic,2022,17.09.23,19.12.23,Full,255,blue,Total,Van,Gasoline,5,68368
Toyota,RAV4,13280,Automatic,2001,20.03.23,18.11.23,Luxe,203,beige,None,Truck,Gasoline,4,78476
BMW,3 Series,103862,Automatic,2017,27.01.23,24.11.23,Base,255,silver,None,SUV,Plug-in Hybrid,1,42377
Chevrolet,Equinox,19804,Automatic,2003,04.10.23,25.11.23,Luxe,170,white,None,Truck,Electric,4,63914
BMW,X5,27531,Automatic,2001,10.11.23,19.12.23,Full,335,red,Low,SUV,Plug-in Hybrid,5,56039
BMW,X3,90403,Automatic,2017,04.08.23,08.02.24,Luxe,248,beige,Low,Coupe,Hybrid,4,80057
Toyota,Prius,176839,Automatic,2015,08.05.23,18.11.23,Advanced,121,blue,Total,Van,Plug-in Hybrid,4,58173
Ford,Fusion,11272,Automatic,2008,22.12.22,28.11.23,Base,188,beige,Total,Coupe,Plug-in Hybrid,2,79456
Mercedes-Benz,GLC,113761,Automatic,2015,27.08.23,20.01.24,Advanced,255,black,Low,Truck,Hybrid,4,16674
BMW,X5,31764,Automatic,2017,28.05.23,13.02.24,Base,456,black,Total,Truck,Gasoline,4,96641
Toyota,Corolla,43846,Automatic,2011,19.01.23,22.01.24,Base,169,white,Low,Van,Electric,5,104183
Toyota,Camry,53148,Automatic,2000,27.08.23,09.02.24,Advanced,203,beige,Low,Truck,Gasoline,3,71355
Chevrolet,Equinox,27378,Automatic,2013,08.07.23,14.01.24,Luxe,252,black,Low,Convertible,Diesel,2,83997
Chevrolet,Equinox,69325,Automatic,2009,23.08.23,02.02.24,Advanced,252,black,Low,Coupe,Hybrid,1,100379
Toyota,RAV4,11797,Automatic,2010,17.01.23,07.02.24,Full,219,silver,Medium,Sedan,Hybrid,3,107833
Chevrolet,Malibu,66086,Automatic,2010,24.07.23,30.12.23,Base,250,silver,None,Wagon,Diesel,1,25452
Chevrolet,Silverado,40710,Automatic,2002,29.01.23,13.12.23,Luxe,285,beige,Low,Coupe,Plug-in Hybrid,5,102640
Audi,Q5,128629,Manual,2006,29.05.23,24.01.24,Full,349,black,Low,SUV,Diesel,2,34901
Ford,Fusion,125066,Automatic,2005,18.01.23,03.12.23,Base,188,blue,Low,Truck,Gasoline,2,109042
BMW,5 Series,17189,Automatic,2008,10.03.23,06.02.24,Advanced,335,beige,Low,Sedan,Electric,5,38529
BMW,3 Series,31262,Automatic,2014,03.10.23,09.12.23,Advanced,255,beige,Low,Truck,Hybrid,5,71018
Audi,Q7,13345,Automatic,2004,09.04.23,10.02.24,Base,335,beige,Low,SUV,Plug-in Hybrid,2,68529
Chevrolet,Silverado,32314,Automatic,2012,19.10.23,04.12.23,Luxe,355,black,Medium,Truck,Diesel,1,116181
Mercedes-Benz,C-Class,182310,Manual,2023,12.12.22,24.11.23,Full,385,red,Low,Sedan,Diesel,2,49291
Toyota,Prius,184386,Automatic,2022,14.02.23,14.01.24,Full,121,blue,None,Van,Electric,1,43495
Ford,Mustang,139859,Automatic,2002,21.10.23,08.12.23,Advanced,300,silver,Total,SUV,Electric,3,68944
Toyota,Corolla,84984,Automatic,2001,09.01.23,03.02.24,Full,169,silver,None,Wagon,Plug-in Hybrid,4,55144
BMW,X3,17798,Automatic,2006,26.10.23,21.12.23,Luxe,382,black,Medium,SUV,Hybrid,3,15067
Toyota,RAV4,142937,Automatic,2008,07.10.23,19.01.24,Base,219,red,Total,SUV,Hybrid,4,26855
Toyota,Corolla,28733,Automatic,2016,12.05.23,02.02.24,Base,139,red,Low,Wagon,Electric,1,43667
Ford,Explorer,69719,Automatic,2005,06.03.23,21.12.23,Base,300,beige,Total,Convertible,Plug-in Hybrid,1,79267
Mercedes-Benz,E-Class,44043,Automatic,2020,16.12.22,23.01.24,Full,255,beige,Total,Van,Hybrid,5,81600
Ford,Mustang,26064,Automatic,2005,23.04.23,25.12.23,Full,300,white,None,Coupe,Electric,2,105140
Ford,F-150,92179,Automatic,2007,03.11.23,02.01.24,Luxe,400,red,Medium,Truck,Diesel,2,29257
Chevrolet,Malibu,166552,Automatic,2005,27.11.22,15.12.23,Luxe,250,silver,Low,Coupe,Electric,1,93362
Ford,Mustang,18017,Automatic,2009,10.12.22,28.11.23,Advanced,300,blue,Total,Sedan,Plug-in Hybrid,2,66925
Toyota,Camry,69679,Automatic,2019,21.04.23,07.02.24,Advanced,301,black,Low,Hatchback,Diesel,1,110257
Audi,A4,37142,Automatic,2007,25.08.23,17.01.24,Luxe,261,beige,Low,SUV,Plug-in Hybrid,4,98484
Mercedes-Benz,S-Class,199900,Automatic,2016,13.01.23,28.11.23,Advanced,463,blue,Low,Sedan,Hybrid,3,102559
Toyota,Prius,121044,Automatic,2017,22.12.22,07.12.23,Base,121,white,None,Wagon,Hybrid,3,22144
Toyota,Corolla,149268,Automatic,2011,28.09.23,21.01.24,Base,169,beige,None,SUV,Electric,4,92346
BMW,5 Series,163262,Automatic,2005,15.06.23,23.11.23,Full,335,red,Total,Sedan,Diesel,4,108765
Ford,Fusion,11220,Automatic,2021,03.10.23,28.12.23,Advanced,188,red,Medium,Truck,Plug-in Hybrid,4,26977
Toyota,Camry,190163,Automatic,2008,26.11.22,27.11.23,Base,301,red,None,Convertible,Plug-in Hybrid,3,8365
Toyota,RAV4,67786,Automatic,2004,15.07.23,08.01.24,Base,219,beige,Low,Hatchback,Plug-in Hybrid,2,19860
Audi,A4,42795,Automatic,2007,02.11.23,25.11.23,Full,261,white,Medium,Coupe,Gasoline,2,8737
Ford,Explorer,42738,Automatic,2004,16.03.23,01.12.23,Luxe,300,black,None,Coupe,Gasoline,5,10280
Toyota,Camry,52451,Automatic,2004,15.04.23,09.01.24,Luxe,203,blue,Total,SUV,Gasoline,4,95383
Mercedes-Benz,C-Class,136520,Automatic,2018,13.03.23,12.01.24,Advanced,255,black,Total,Convertible,Diesel,1,82358
Audi,A6,21144,Automatic,2009,22.12.22,03.12.23,Full,248,silver,Low,Van,Hybrid,5,84251
Toyota,Corolla,139337,Automatic,2008,31.10.23,18.12.23,Base,139,black,Total,Truck,Diesel,1,64834
Mercedes-Benz,C-Class,107240,Automatic,2007,09.09.23,22.01.24,Base,385,beige,Total,Convertible,Electric,4,97682
BMW,5 Series,102328,Automatic,2023,05.11.23,08.01.24,Luxe,335,black,Low,SUV,Diesel,2,46097
Mercedes-Benz,C-Class,38641,Automatic,2011,27.10.23,10.01.24,Full,255,white,None,Wagon,Gasoline,5,64957
Ford,Fusion,183218,Automatic,2009,14.05.23,24.11.23,Advanced,325,silver,Total,Truck,Gasoline,3,47165
Audi,A6,85880,Automatic,2006,26.06.23,24.11.23,Luxe,248,beige,None,Truck,Plug-in Hybrid,2,19000
Mercedes-Benz,GLC,18610,Automatic,2018,29.08.23,18.11.23,Full,255,silver,Total,Hatchback,Gasoline,2,38573
Toyota,Prius,91948,Automatic,2005,13.10.23,31.01.24,Advanced,121,white,None,Hatchback,Gasoline,3,97226
Chevrolet,Silverado,30436,Automatic,2018,12.03.23,06.02.24,Advanced,355,red,None,Van,Plug-in Hybrid,1,96838
Audi,Q5,150121,Automatic,2006,27.10.23,10.01.24,Full,261,beige,None,Coupe,Plug-in Hybrid,3,16881
Ford,Explorer,165536,Automatic,2002,22.08.23,19.12.23,Full,300,white,Total,Van,Electric,3,99960
Mercedes-Benz,S-Class,152081,Automatic,2016,16.11.22,03.12.23,Luxe,362,red,Medium,Van,Gasoline,4,37614
Audi,Q5,78741,Automatic,2011,26.06.23,15.01.24,Full,349,silver,Low,Convertible,Gasoline,5,52331
BMW,3 Series,129395,Automatic,2004,06.09.23,06.12.23,Advanced,255,blue,Medium,Sedan,Gasoline,5,91093
BMW,5 Series,112708,Automatic,2012,16.04.23,28.11.23,Base,248,blue,None,Wagon,Plug-in Hybrid,4,58078
Ford,Fusion,112781,Automatic,2017,23.03.23,08.12.23,Base,325,black,Total,SUV,Diesel,2,21081
BMW,X3,105767,Automatic,2014,29.07.23,27.11.23,Base,382,white,None,Hatchback,Gasoline,3,66547
Toyota,RAV4,180581,Automatic,2003,23.06.23,16.12.23,Luxe,219,white,None,Truck,Hybrid,4,27986
Mercedes-Benz,GLC,194719,Automatic,2010,18.04.23,05.12.23,Advanced,362,beige,Medium,Convertible,Electric,1,34834
Ford,Explorer,140812,Automatic,2009,12.07.23,26.12.23,Full,290,white,None,Sedan,Hybrid,5,6016
Toyota,Prius,25926,Automatic,2005,06.01.23,06.12.23,Luxe,121,beige,None,Convertible,Gasoline,3,30445
Audi,Q7,167201,Automatic,2016,11.05.23,30.11.23,Advanced,335,silver,Total,Sedan,Electric,4,115089
Ford,Fusion,19446,Automatic,2005,29.09.23,17.01.24,Base,188,white,None,SUV,Diesel,5,94220
Chevrolet,Malibu,19782,Automatic,2015,23.08.23,20.01.24,Base,182,black,None,Coupe,Gasoline,3,64876
Chevrolet,Equinox,146781,Automatic,2014,24.12.22,13.02.24,Advanced,252,black,Low,Convertible,Diesel,1,37384
Toyota,Corolla,143793,Automatic,2011,10.02.23,16.01.24,Advanced,169,red,Total,Convertible,Electric,2,67631
Mercedes-Benz,S-Class,39498,Automatic,2020,29.11.22,07.12.23,Full,362,silver,None,Wagon,Hybrid,4,30811
Ford,Mustang,78588,Automatic,2019,07.05.23,16.11.23,Base,450,black,Total,Sedan,Hybrid,3,52142
Toyota,Prius,82817,Automatic,2015,31.05.23,03.02.24,Advanced,121,white,Low,SUV,Electric,3,31776
Audi,Q7,113310,Automatic,2003,17.11.22,20.11.23,Advanced,335,beige,Medium,Hatchback,Gasoline,3,83354
Mercedes-Benz,E-Class,174931,Automatic,2021,21.12.22,26.11.23,Luxe,255,red,Low,Wagon,Plug-in Hybrid,2,60709
Chevrolet,Silverado,163784,Manual,2012,14.10.23,13.01.24,Base,355,silver,None,Truck,Plug-in Hybrid,4,104562
Toyota,Camry,83806,Manual,2007,21.09.23,28.11.23,Advanced,301,beige,Total,Convertible,Gasoline,5,79304
Chevrolet,Silverado,75456,Automatic,2020,03.08.23,06.01.24,Advanced,355,silver,Medium,Truck,Hybrid,5,53372
Toyota,Corolla,150888,Automatic,2020,03.09.23,18.12.23,Advanced,139,beige,Medium,SUV,Plug-in Hybrid,4,88958
Chevrolet,Silverado,149978,Automatic,2023,07.09.23,28.11.23,Advanced,355,blue,Low,Convertible,Plug-in Hybrid,5,56819
Audi,Q7,107161,Automatic,2011,20.04.23,15.01.24,Luxe,335,white,None,SUV,Electric,4,115310
BMW,5 Series,106171,Automatic,2010,11.07.23,16.12.23,Advanced,335,silver,None,Wagon,Hybrid,1,45367
Mercedes-Benz,C-Class,191096,Automatic,2007,02.09.23,13.01.24,Luxe,385,white,Total,Sedan,Hybrid,2,73430
Audi,Q5,143712,Automatic,2001,31.05.23,28.11.23,Advanced,349,blue,Low,Truck,Gasoline,2,94751
Audi,Q5,153560,Automatic,2023,09.03.23,08.02.24,Full,261,blue,None,Truck,Electric,1,40639
BMW,X5,193860,Automatic,2003,01.12.22,13.01.24,Base,456,white,Medium,Coupe,Plug-in Hybrid,2,29202
Chevrolet,Impala,140493,Automatic,2014,12.09.23,17.11.23,Full,305,silver,Low,Wagon,Electric,4,54157
Toyota,RAV4,44300,Automatic,2007,03.10.23,21.12.23,Advanced,219,silver,Low,Van,Plug-in Hybrid,1,100081
Toyota,Prius,62413,Automatic,2012,10.12.22,08.02.24,Full,121,beige,Medium,Hatchback,Diesel,2,75852
Audi,A6,198095,Automatic,2003,11.03.23,07.02.24,Full,248,white,None,Coupe,Gasoline,2,30472
Toyota,Corolla,142990,Automatic,2000,13.01.23,04.12.23,Advanced,139,blue,Low,SUV,Hybrid,2,42863
Ford,Explorer,85080,Automatic,2002,21.04.23,17.12.23,Base,300,black,Medium,Coupe,Electric,3,35673
Ford,F-150,47439,Automatic,2004,01.03.23,29.01.24,Full,400,beige,Low,Hatchback,Hybrid,3,87639
Mercedes-Benz,C-Class,133192,Automatic,2008,08.11.23,24.11.23,Advanced,255,blue,Medium,Hatchback,Hybrid,1,8278
Chevrolet,Silverado,78963,Manual,2016,14.05.23,04.02.24,Full,355,silver,Total,Convertible,Plug-in Hybrid,5,26481
Toyota,Camry,100901,Automatic,2011,28.06.23,23.01.24,Luxe,208,silver,Total,SUV,Hybrid,5,48245
BMW,X5,145636,Automatic,2014,29.12.22,12.01.24,Full,335,blue,Medium,Coupe,Hybrid,1,101721
Mercedes-Benz,E-Class,88437,Automatic,2004,14.10.23,10.01.24,Base,255,white,None,Sedan,Plug-in Hybrid,1,53685
BMW,X3,132758,Automatic,2000,02.09.23,27.01.24,Full,382,red,Total,Coupe,Diesel,2,47809
Audi,Q5,81127,Automatic,2010,06.01.23,24.12.23,Luxe,349,red,None,Convertible,Diesel,5,99072
BMW,X5,30438,Automatic,2022,04.01.23,16.11.23,Base,456,silver,Medium,Sedan,Gasoline,5,59072
Ford,Explorer,34128,Automatic,2006,17.11.22,23.11.23,Advanced,290,silver,Total,Truck,Plug-in Hybrid,2,112516
Ford,F-150,69232,Automatic,2012,03.04.23,26.01.24,Luxe,400,black,Total,Convertible,Gasoline,3,42396
Chevrolet,Equinox,112042,Automatic,2000,13.09.23,17.12.23,Base,170,beige,Medium,Wagon,Plug-in Hybrid,5,89197
Ford,F-150,45419,Automatic,2003,30.12.22,17.12.23,Base,400,black,Total,Coupe,Plug-in Hybrid,5,119231
Audi,A6,64169,Automatic,2011,24.02.23,30.11.23,Advanced,335,black,Low,Van,Hybrid,1,17424
Mercedes-Benz,GLC,84480,Automatic,2017,28.07.23,28.01.24,Advanced,362,red,Total,SUV,Plug-in Hybrid,4,110293
Audi,A4,21663,Automatic,2023,04.02.23,11.02.24,Luxe,261,red,Low,Sedan,Electric,1,5485
BMW,X3,126065,Automatic,2000,05.12.22,18.12.23,Full,248,white,Total,Hatchback,Gasoline,5,55873
Audi,A6,138264,Automatic,2012,29.07.23,24.12.23,Full,248,red,Low,Convertible,Plug-in Hybrid,1,72200
Mercedes-Benz,S-Class,68812,Automatic,2016,28.01.23,16.11.23,Full,362,red,Low,SUV,Gasoline,1,42693
Mercedes-Benz,C-Class,195261,Automatic,2011,08.10.23,19.01.24,Full,385,silver,Low,Coupe,Gasoline,1,104127
Ford,Mustang,197697,Automatic,2010,20.11.22,06.02.24,Base,450,blue,Total,Coupe,Gasoline,2,81861
Toyota,Camry,15488,Automatic,2002,01.04.23,20.12.23,Full,203,red,Low,Van,Plug-in Hybrid,2,103208
Mercedes-Benz,E-Class,58676,Automatic,2020,16.11.22,23.01.24,Base,362,beige,Total,Truck,Hybrid,4,119265
Ford,Explorer,83651,Automatic,2023,28.09.23,21.11.23,Base,300,red,Low,Truck,Electric,3,48553
Chevrolet,Equinox,129772,Automatic,2013,05.04.23,03.12.23,Advanced,252,white,Total,SUV,Gasoline,3,100182
Toyota,Corolla,189274,Automatic,2001,14.08.23,12.02.24,Luxe,139,beige,Medium,Van,Diesel,2,40767
Toyota,Camry,85580,Automatic,2012,13.12.22,14.01.24,Luxe,301,beige,Low,Convertible,Hybrid,4,71327
Mercedes-Benz,S-Class,189022,Automatic,2003,07.07.23,19.01.24,Advanced,362,white,Medium,Coupe,Plug-in Hybrid,5,48463
Toyota,Corolla,159499,Automatic,2011,29.05.23,08.02.24,Advanced,169,red,None,Truck,Electric,1,106072
Audi,A6,22126,Automatic,2000,31.05.23,13.01.24,Advanced,335,white,Medium,Sedan,Gasoline,1,107794
Toyota,Camry,45915,Automatic,2017,14.09.23,19.01.24,Full,208,blue,Low,SUV,Plug-in Hybrid,3,21049
Ford,F-150,199652,Automatic,2023,20.05.23,18.12.23,Advanced,400,blue,Medium,Coupe,Gasoline,5,91129
Audi,A6,34914,Automatic,2019,25.06.23,16.01.24,Luxe,248,red,Total,Wagon,Electric,2,45119
Chevrolet,Malibu,36215,Automatic,2020,14.10.23,22.01.24,Advanced,182,beige,Total,Truck,Plug-in Hybrid,5,42106
Chevrolet,Silverado,152478,Automatic,2020,03.05.23,13.12.23,Base,285,red,Low,Truck,Hybrid,5,52051
Toyota,Camry,32892,Automatic,2017,02.08.23,13.12.23,Luxe,203,black,None,Sedan,Diesel,1,41109
Ford,Explorer,175350,Automatic,2018,30.05.23,12.01.24,Advanced,300,beige,None,Wagon,Gasoline,1,105153
BMW,3 Series,102054,Automatic,2001,18.07.23,21.11.23,Base,382,white,Medium,Van,Electric,2,33782
Ford,Explorer,127375,Automatic,2022,20.01.23,03.01.24,Luxe,300,red,Low,Coupe,Hybrid,2,107501
Ford,Fusion,180402,Automatic,2013,30.04.23,17.11.23,Full,325,white,Medium,Sedan,Hybrid,2,87182
Audi,A6,31750,Manual,2016,12.12.22,22.12.23,Base,335,blue,Low,Coupe,Gasoline,2,68941
Mercedes-Benz,S-Class,106059,Automatic,2023,15.06.23,25.11.23,Advanced,362,black,Total,Hatchback,Electric,4,38120
Toyota,Corolla,45382,Automatic,2018,08.06.23,13.02.24,Luxe,139,silver,Total,Van,Electric,3,4274
BMW,5 Series,19991,Automatic,2010,24.05.23,24.11.23,Luxe,335,silver,None,SUV,Diesel,5,53201
Ford,Mustang,188752,Automatic,2009,20.07.23,13.01.24,Full,450,red,Medium,Convertible,Plug-in Hybrid,3,29856
Ford,Mustang,131585,Automatic,2012,07.12.22,30.01.24,Luxe,300,black,Low,Sedan,Diesel,3,82807
Ford,Mustang,78682,Automatic,2012,02.11.23,29.11.23,Base,450,silver,Low,Sedan,Hybrid,2,28929
BMW,X5,90795,Automatic,2017,21.09.23,27.12.23,Advanced,456,black,Low,SUV,Hybrid,1,107767
BMW,X3,194447,Automatic,2010,02.07.23,30.01.24,Luxe,248,beige,Total,Van,Plug-in Hybrid,1,8040
Toyota,RAV4,112911,Automatic,2013,03.06.23,30.01.24,Full,219,silver,Total,Wagon,Hybrid,1,49334
Chevrolet,Silverado,137432,Automatic,2013,26.05.23,03.12.23,Full,355,black,Total,Convertible,Gasoline,4,113508
Toyota,Camry,13571,Automatic,2006,06.12.22,17.11.23,Advanced,208,white,None,Wagon,Plug-in Hybrid,5,68991
Ford,Explorer,50641,Automatic,2001,13.11.23,08.01.24,Luxe,290,silver,Low,Coupe,Diesel,5,17458
Mercedes-Benz,C-Class,80013,Automatic,2023,12.08.23,13.02.24,Luxe,385,black,Total,Wagon,Gasoline,4,75714
Ford,Explorer,55447,Automatic,2021,05.10.23,29.11.23,Luxe,300,silver,Total,Truck,Gasoline,3,88361
BMW,3 Series,138651,Automatic,2006,25.09.23,22.12.23,Full,255,silver,Total,Coupe,Hybrid,5,56447
