Car_make,Model,Mileage,Transmission,Year,Website_post_date,Sell_date,Options,Horsepower,Color,Damage,Body_style,Fuel_type,Num_of_prev_owners,Estimated_price
Mercedes-Benz,GLC,25503,Automatic,2015,26.12.22,16.11.23,Advanced,362,white,Total,Wagon,Hybrid,3,115458
Audi,A6,163912,Automatic,2007,26.02.23,17.01.24,Advanced,335,blue,Medium,Hatchback,Diesel,3,78532
Ford,F-150,96948,Automatic,2011,12.09.23,17.11.23,Advanced,400,beige,Medium,Hatchback,Gasoline,1,63459
Toyota,Prius,141600,Automatic,2018,01.10.23,16.01.24,Advanced,121,blue,Medium,Wagon,Electric,1,9684
BMW,3 Series,121637,Automatic,2002,07.01.23,25.12.23,Full,382,black,Total,Sedan,Plug-in Hybrid,1,84395
Audi,A4,107672,Automatic,2018,16.06.23,03.12.23,Advanced,261,red,Medium,Van,Plug-in Hybrid,5,71330
BMW,X5,110010,Automatic,2008,09.08.23,30.12.23,Full,335,beige,None,Sedan,Gasoline,1,78794
Ford,Fusion,153480,Manual,2003,22.09.23,13.12.23,Advanced,325,white,Medium,Sedan,Electric,2,16557
Mercedes-Benz,E-Class,10246,Automatic,2006,13.09.23,15.01.24,Full,362,black,Low,Van,Hybrid,3,103643
Audi,Q5,183680,Automatic,2010,12.12.22,13.02.24,Advanced,261,red,Low,Van,Diesel,5,10936
Ford,Mustang,199025,Automatic,2004,18.05.23,29.12.23,Base,450,silver,Total,Hatchback,Electric,5,71561
BMW,X3,45311,Automatic,2017,13.02.23,24.11.23,Base,248,silver,Low,Convertible,Diesel,2,98797
Chevrolet,Silverado,129290,Manual,2008,26.11.22,05.02.24,Base,355,black,Medium,Convertible,Electric,3,48750
BMW,X5,134713,Automatic,2006,23.02.23,07.01.24,Full,335,white,Medium,Truck,Hybrid,1,61079
Audi,Q5,15443,Automatic,2019,10.08.23,03.01.24,Luxe,349,black,None,Hatchback,Plug-in Hybrid,2,14387
Ford,Fusion,112671,Automatic,2010,01.06.23,27.11.23,Luxe,325,white,Low,Sedan,Hybrid,2,113767
Toyota,Camry,24251,Automatic,2007,01.03.23,30.01.24,Base,203,blue,Medium,Sedan,Plug-in Hybrid,3,11374
BMW,X5,53316,Automatic,2019,07.07.23,05.12.23,Advanced,456,silver,Total,Wagon,Diesel,4,97983
Ford,Mustang,170977,Automatic,2014,09.03.23,13.12.23,Luxe,450,white,None,Coupe,Plug-in Hybrid,2,27045
Chevrolet,Malibu,187707,Automatic,2016,08.01.23,15.01.24,Base,182,beige,Total,Hatchback,Gasoline,2,76482
Chevrolet,Equinox,133803,Automatic,2003,26.04.23,26.01.24,Advanced,170,black,Low,Wagon,Hybrid,1,93390
Audi,A6,141643,Automatic,2011,01.04.23,27.01.24,Full,335,black,None,Convertible,Diesel,1,100023
Toyota,Corolla,102677,Automatic,2015,01.11.23,09.12.23,Full,139,red,Medium,Convertible,Electric,3,38269
Ford,F-150,157489,Automatic,2004,30.12.22,10.02.24,Advanced,400,white,Low,Truck,Electric,3,75273
Mercedes-Benz,GLC,192812,Automatic,2006,28.05.23,17.12.23,Base,255,blue,Total,Coupe,Plug-in Hybrid,3,15853
Chevrolet,Impala,192086,Manual,2023,26.02.23,07.02.24,Base,305,white,None,Truck,Hybrid,1,85463
BMW,X5,12987,Automatic,2002,28.09.23,25.01.24,Advanced,456,black,None,Truck,Electric,2,25959
Mercedes-Benz,E-Class,124321,Automatic,2022,16.04.23,16.11.23,Luxe,255,blue,Medium,Wagon,Plug-in Hybrid,1,106463
Ford,F-150,13703,Automatic,2000,17.10.23,25.12.23,Base,400,beige,None,Sedan,Diesel,3,38780
Chevrolet,Malibu,21169,Automatic,2019,24.09.23,24.11.23,Luxe,250,silver,None,Van,Gasoline,4,81538
Mercedes-Benz,C-Class,161583,Automatic,2015,10.09.23,31.12.23,Base,385,black,Total,Hatchback,Hybrid,5,103615
Toyota,RAV4,172175,Automatic,2008,22.08.23,14.01.24,Advanced,219,silver,None,Truck,Plug-in Hybrid,3,10941
Toyota,Prius,146020,Automatic,2006,04.04.23,12.12.23,Luxe,121,red,None,Van,Hybrid,5,106317
Mercedes-Benz,S-Class,55767,Automatic,2000,10.11.23,24.01.24,Full,463,silver,Total,Wagon,Plug-in Hybrid,3,38136
Mercedes-Benz,S-Class,69142,Automatic,2014,03.05.23,29.12.23,Full,362,blue,Low,Wagon,Plug-in Hybrid,4,111058
Chevrolet,Silverado,115228,Automatic,2015,14.12.22,18.01.24,Advanced,285,black,Total,SUV,Electric,2,102116
Toyota,RAV4,27708,Automatic,2006,01.06.23,15.01.24,Luxe,219,red,Medium,Van,Gasoline,5,5928
Audi,Q5,187457,Automatic,2023,26.01.23,27.01.24,Luxe,261,red,None,Coupe,Hybrid,3,117495
Toyota,Corolla,73253,Automatic,2020,11.03.23,04.02.24,Full,169,silver,Medium,Hatchback,Hybrid,3,56332
Ford,Fusion,42996,Automatic,2018,30.11.22,16.12.23,Full,325,beige,Low,Convertible,Gasoline,1,6778
Mercedes-Benz,C-Class,44902,Automatic,2022,17.09.23,19.12.23,Full,255,beige,None,Truck,Electric,4,24079
Toyota,RAV4,13280,Automatic,2001,20.03.23,18.11.23,Luxe,203,red,Medium,Truck,Diesel,5,119255
BMW,3 Series,103862,Automatic,2017,27.01.23,24.11.23,Base,255,blue,Total,Hatchback,Plug-in Hybrid,2,15642
Chevrolet,Equinox,19804,Automatic,2003,04.10.23,25.11.23,Luxe,170,white,Low,Truck,Hybrid,4,17035
BMW,X5,27531,Automatic,2001,10.11.23,19.12.23,Full,335,white,Medium,Sedan,Gasoline,4,43739
BMW,X3,90403,Automatic,2017,04.08.23,08.02.24,Luxe,248,blue,Total,Convertible,Plug-in Hybrid,3,93138
Toyota,Prius,176839,Automatic,2015,08.05.23,18.11.23,Advanced,121,beige,Total,Coupe,Gasoline,4,58038
Ford,Fusion,11272,Automatic,2008,22.12.22,28.11.23,Base,188,blue,Total,Van,Diesel,3,10388
Mercedes-Benz,GLC,113761,Automatic,2015,27.08.23,20.01.24,Advanced,255,white,Total,Coupe,Hybrid,4,91011
BMW,X5,31764,Automatic,2017,28.05.23,13.02.24,Base,456,white,Low,Wagon,Plug-in Hybrid,2,106432
Toyota,Corolla,43846,Automatic,2011,19.01.23,22.01.24,Base,169,red,Medium,SUV,Plug-in Hybrid,1,82520
Toyota,Camry,53148,Automatic,2000,27.08.23,09.02.24,Advanced,203,silver,Low,Sedan,Gasoline,5,106120
Chevrolet,Equinox,27378,Automatic,2013,08.07.23,14.01.24,Luxe,252,silver,Low,Truck,Electric,3,13917
Chevrolet,Equinox,69325,Automatic,2009,23.08.23,02.02.24,Advanced,252,blue,Low,Van,Electric,5,107302
Toyota,RAV4,11797,Automatic,2010,17.01.23,07.02.24,Full,219,black,Low,Wagon,Gasoline,3,4931
Chevrolet,Malibu,66086,Automatic,2010,24.07.23,30.12.23,Base,250,blue,Total,Coupe,Diesel,3,11217
Chevrolet,Silverado,40710,Automatic,2002,29.01.23,13.12.23,Luxe,285,white,None,Convertible,Gasoline,1,4475
Audi,Q5,128629,Manual,2006,29.05.23,24.01.24,Full,349,white,None,Truck,Hybrid,2,96659
Ford,Fusion,125066,Automatic,2005,18.01.23,03.12.23,Base,188,black,Medium,Coupe,Diesel,4,115483
BMW,5 Series,17189,Automatic,2008,10.03.23,06.02.24,Advanced,335,beige,Total,Sedan,Gasoline,4,17300
BMW,3 Series,31262,Automatic,2014,03.10.23,09.12.23,Advanced,255,blue,Medium,Coupe,Hybrid,4,107702
Audi,Q7,13345,Automatic,2004,09.04.23,10.02.24,Base,335,white,Low,Convertible,Electric,2,62665
Chevrolet,Silverado,32314,Automatic,2012,19.10.23,04.12.23,Luxe,355,black,None,Sedan,Electric,1,37998
Mercedes-Benz,C-Class,182310,Manual,2023,12.12.22,24.11.23,Full,385,silver,Medium,Coupe,Hybrid,5,41350
Toyota,Prius,184386,Automatic,2022,14.02.23,14.01.24,Full,121,beige,None,Truck,Electric,5,113454
Ford,Mustang,139859,Automatic,2002,21.10.23,08.12.23,Advanced,300,red,None,Wagon,Diesel,2,102577
Toyota,Corolla,84984,Automatic,2001,09.01.23,03.02.24,Full,169,beige,Low,SUV,Gasoline,4,107462
BMW,X3,17798,Automatic,2006,26.10.23,21.12.23,Luxe,382,red,Medium,Truck,Diesel,4,114980
Toyota,RAV4,142937,Automatic,2008,07.10.23,19.01.24,Base,219,red,Medium,Truck,Hybrid,3,112383
Toyota,Corolla,28733,Automatic,2016,12.05.23,02.02.24,Base,139,beige,Medium,SUV,Electric,4,19292
Ford,Explorer,69719,Automatic,2005,06.03.23,21.12.23,Base,300,red,Medium,Truck,Electric,5,10818
Mercedes-Benz,E-Class,44043,Automatic,2020,16.12.22,23.01.24,Full,255,red,Medium,Hatchback,Gasoline,3,81860
Ford,Mustang,26064,Automatic,2005,23.04.23,25.12.23,Full,300,red,Total,SUV,Diesel,1,21784
Ford,F-150,92179,Automatic,2007,03.11.23,02.01.24,Luxe,400,blue,Low,Hatchback,Electric,1,9645
Chevrolet,Malibu,166552,Automatic,2005,27.11.22,15.12.23,Luxe,250,red,None,Wagon,Diesel,3,13827
Ford,Mustang,18017,Automatic,2009,10.12.22,28.11.23,Advanced,300,blue,None,Coupe,Electric,3,110335
Toyota,Camry,69679,Automatic,2019,21.04.23,07.02.24,Advanced,301,blue,None,SUV,Electric,2,37088
Audi,A4,37142,Automatic,2007,25.08.23,17.01.24,Luxe,261,black,Total,Coupe,Gasoline,4,53341
Mercedes-Benz,S-Class,199900,Automatic,2016,13.01.23,28.11.23,Advanced,463,red,Total,Van,Hybrid,4,65419
Toyota,Prius,121044,Automatic,2017,22.12.22,07.12.23,Base,121,red,None,Coupe,Gasoline,1,114626
Toyota,Corolla,149268,Automatic,2011,28.09.23,21.01.24,Base,169,red,Medium,Wagon,Diesel,1,81341
BMW,5 Series,163262,Automatic,2005,15.06.23,23.11.23,Full,335,blue,Medium,Coupe,Electric,3,74350
Ford,Fusion,11220,Automatic,2021,03.10.23,28.12.23,Advanced,188,silver,Medium,Van,Plug-in Hybrid,5,113845
Toyota,Camry,190163,Automatic,2008,26.11.22,27.11.23,Base,301,black,Low,SUV,Diesel,4,59456
Toyota,RAV4,67786,Automatic,2004,15.07.23,08.01.24,Base,219,silver,None,SUV,Electric,4,94731
Audi,A4,42795,Automatic,2007,02.11.23,25.11.23,Full,261,white,Low,SUV,Gasoline,4,62622
Ford,Explorer,42738,Automatic,2004,16.03.23,01.12.23,Luxe,300,silver,None,Hatchback,Electric,3,104244
Toyota,Camry,52451,Automatic,2004,15.04.23,09.01.24,Luxe,203,red,Total,Hatchback,Diesel,4,94127
Mercedes-Benz,C-Class,136520,Automatic,2018,13.03.23,12.01.24,Advanced,255,black,None,Sedan,Electric,1,21320
Audi,A6,21144,Automatic,2009,22.12.22,03.12.23,Full,248,silver,None,Hatchback,Electric,5,9088
Toyota,Corolla,139337,Automatic,2008,31.10.23,18.12.23,Base,139,black,Total,Truck,Electric,2,108005
Mercedes-Benz,C-Class,107240,Automatic,2007,09.09.23,22.01.24,Base,385,silver,None,Van,Gasoline,3,119868
BMW,5 Series,102328,Automatic,2023,05.11.23,08.01.24,Luxe,335,black,Total,Truck,Diesel,4,23350
Mercedes-Benz,C-Class,38641,Automatic,2011,27.10.23,10.01.24,Full,255,beige,Low,SUV,Gasoline,5,46555
Ford,Fusion,183218,Automatic,2009,14.05.23,24.11.23,Advanced,325,white,Total,SUV,Plug-in Hybrid,2,65662
Audi,A6,85880,Automatic,2006,26.06.23,24.11.23,Luxe,248,red,Medium,Hatchback,Electric,2,24924
Mercedes-Benz,GLC,18610,Automatic,2018,29.08.23,18.11.23,Full,255,red,Low,Convertible,Hybrid,3,52612
Toyota,Prius,91948,Automatic,2005,13.10.23,31.01.24,Advanced,121,blue,Medium,Wagon,Plug-in Hybrid,5,63195
Chevrolet,Silverado,30436,Automatic,2018,12.03.23,06.02.24,Advanced,355,silver,None,Convertible,Plug-in Hybrid,4,39338
Audi,Q5,150121,Automatic,2006,27.10.23,10.01.24,Full,261,silver,None,Truck,Gasoline,2,77143
Ford,Explorer,165536,Automatic,2002,22.08.23,19.12.23,Full,300,red,Low,Convertible,Electric,2,48453
Mercedes-Benz,S-Class,152081,Automatic,2016,16.11.22,03.12.23,Luxe,362,silver,Total,SUV,Electric,2,70234
Audi,Q5,78741,Automatic,2011,26.06.23,15.01.24,Full,349,silver,Total,Truck,Electric,1,88716
BMW,3 Series,129395,Automatic,2004,06.09.23,06.12.23,Advanced,255,white,None,Hatchback,Hybrid,1,89670
BMW,5 Series,112708,Automatic,2012,16.04.23,28.11.23,Base,248,black,None,Hatchback,Gasoline,3,103991
Ford,Fusion,112781,Automatic,2017,23.03.23,08.12.23,Base,325,silver,None,Convertible,Plug-in Hybrid,3,92892
BMW,X3,105767,Automatic,2014,29.07.23,27.11.23,Base,382,silver,Medium,Hatchback,Electric,2,29607
Toyota,RAV4,180581,Automatic,2003,23.06.23,16.12.23,Luxe,219,black,None,Van,Gasoline,2,44822
Mercedes-Benz,GLC,194719,Automatic,2010,18.04.23,05.12.23,Advanced,362,blue,Medium,Hatchback,Diesel,4,10344
Ford,Explorer,140812,Automatic,2009,12.07.23,26.12.23,Full,290,blue,None,Truck,Hybrid,3,36816
Toyota,Prius,25926,Automatic,2005,06.01.23,06.12.23,Luxe,121,blue,Medium,Hatchback,Electric,3,69834
Audi,Q7,167201,Automatic,2016,11.05.23,30.11.23,Advanced,335,white,Total,Wagon,Diesel,2,100612
Ford,Fusion,19446,Automatic,2005,29.09.23,17.01.24,Base,188,silver,Low,Coupe,Plug-in Hybrid,4,68157
Chevrolet,Malibu,19782,Automatic,2015,23.08.23,20.01.24,Base,182,silver,None,Convertible,Plug-in Hybrid,2,26778
Chevrolet,Equinox,146781,Automatic,2014,24.12.22,13.02.24,Advanced,252,red,None,Convertible,Plug-in Hybrid,2,16972
Toyota,Corolla,143793,Automatic,2011,10.02.23,16.01.24,Advanced,169,white,Low,Convertible,Hybrid,3,88741
Mercedes-Benz,S-Class,39498,Automatic,2020,29.11.22,07.12.23,Full,362,black,Total,Van,Electric,4,76206
Ford,Mustang,78588,Automatic,2019,07.05.23,16.11.23,Base,450,white,Medium,SUV,Gasoline,5,40256
Toyota,Prius,82817,Automatic,2015,31.05.23,03.02.24,Advanced,121,beige,Low,Hatchback,Hybrid,1,12167
Audi,Q7,113310,Automatic,2003,17.11.22,20.11.23,Advanced,335,white,Medium,Truck,Gasoline,5,74733
Mercedes-Benz,E-Class,174931,Automatic,2021,21.12.22,26.11.23,Luxe,255,white,Medium,Hatchback,Plug-in Hybrid,3,111750
Chevrolet,Silverado,163784,Manual,2012,14.10.23,13.01.24,Base,355,black,None,Coupe,Plug-in Hybrid,3,80587
Toyota,Camry,83806,Manual,2007,21.09.23,28.11.23,Advanced,301,silver,Medium,SUV,Plug-in Hybrid,5,17961
Chevrolet,Silverado,75456,Automatic,2020,03.08.23,06.01.24,Advanced,355,red,Total,Sedan,Gasoline,3,106488
Toyota,Corolla,150888,Automatic,2020,03.09.23,18.12.23,Advanced,139,silver,Low,Wagon,Electric,2,55479
Chevrolet,Silverado,149978,Automatic,2023,07.09.23,28.11.23,Advanced,355,beige,Medium,Van,Hybrid,2,17945
Audi,Q7,107161,Automatic,2011,20.04.23,15.01.24,Luxe,335,beige,None,Van,Hybrid,4,51693
BMW,5 Series,106171,Automatic,2010,11.07.23,16.12.23,Advanced,335,beige,Low,Hatchback,Electric,2,81957
Mercedes-Benz,C-Class,191096,Automatic,2007,02.09.23,13.01.24,Luxe,385,red,Low,Hatchback,Electric,4,51034
Audi,Q5,143712,Automatic,2001,31.05.23,28.11.23,Advanced,349,white,Medium,Sedan,Hybrid,1,37375
Audi,Q5,153560,Automatic,2023,09.03.23,08.02.24,Full,261,red,Total,Truck,Plug-in Hybrid,1,44031
BMW,X5,193860,Automatic,2003,01.12.22,13.01.24,Base,456,silver,Total,Wagon,Electric,1,78956
Chevrolet,Impala,140493,Automatic,2014,12.09.23,17.11.23,Full,305,blue,Total,Coupe,Plug-in Hybrid,2,39066
Toyota,RAV4,44300,Automatic,2007,03.10.23,21.12.23,Advanced,219,blue,Low,Wagon,Diesel,3,108936
Toyota,Prius,62413,Automatic,2012,10.12.22,08.02.24,Full,121,beige,Low,Wagon,Plug-in Hybrid,1,53462
Audi,A6,198095,Automatic,2003,11.03.23,07.02.24,Full,248,blue,Total,SUV,Hybrid,1,27387
Toyota,Corolla,142990,Automatic,2000,13.01.23,04.12.23,Advanced,139,beige,None,SUV,Diesel,3,29174
Ford,Explorer,85080,Automatic,2002,21.04.23,17.12.23,Base,300,beige,None,Truck,Plug-in Hybrid,3,44428
Ford,F-150,47439,Automatic,2004,01.03.23,29.01.24,Full,400,red,Total,SUV,Plug-in Hybrid,1,12083
Mercedes-Benz,C-Class,133192,Automatic,2008,08.11.23,24.11.23,Advanced,255,beige,Medium,Sedan,Electric,4,73367
Chevrolet,Silverado,78963,Manual,2016,14.05.23,04.02.24,Full,355,silver,Medium,Wagon,Electric,4,16370
Toyota,Camry,100901,Automatic,2011,28.06.23,23.01.24,Luxe,208,silver,Medium,Coupe,Gasoline,4,76427
BMW,X5,145636,Automatic,2014,29.12.22,12.01.24,Full,335,black,None,Convertible,Plug-in Hybrid,4,92013
Mercedes-Benz,E-Class,88437,Automatic,2004,14.10.23,10.01.24,Base,255,blue,Total,Truck,Diesel,5,66464
BMW,X3,132758,Automatic,2000,02.09.23,27.01.24,Full,382,red,None,Convertible,Diesel,5,35947
Audi,Q5,81127,Automatic,2010,06.01.23,24.12.23,Luxe,349,white,Total,Wagon,Electric,3,79026
BMW,X5,30438,Automatic,2022,04.01.23,16.11.23,Base,456,blue,None,Truck,Gasoline,4,50586
Ford,Explorer,34128,Automatic,2006,17.11.22,23.11.23,Advanced,290,red,None,Wagon,Plug-in Hybrid,2,48641
Ford,F-150,69232,Automatic,2012,03.04.23,26.01.24,Luxe,400,silver,Total,SUV,Hybrid,2,8467
Chevrolet,Equinox,112042,Automatic,2000,13.09.23,17.12.23,Base,170,silver,Medium,Convertible,Hybrid,5,77176
Ford,F-150,45419,Automatic,2003,30.12.22,17.12.23,Base,400,blue,Medium,Van,Hybrid,5,82763
Audi,A6,64169,Automatic,2011,24.02.23,30.11.23,Advanced,335,white,Medium,SUV,Hybrid,5,81273
Mercedes-Benz,GLC,84480,Automatic,2017,28.07.23,28.01.24,Advanced,362,black,Total,Van,Diesel,5,8720
Audi,A4,21663,Automatic,2023,04.02.23,11.02.24,Luxe,261,beige,Medium,Sedan,Plug-in Hybrid,5,49341
BMW,X3,126065,Automatic,2000,05.12.22,18.12.23,Full,248,black,Medium,Truck,Electric,3,45065
Audi,A6,138264,Automatic,2012,29.07.23,24.12.23,Full,248,blue,Low,Wagon,Gasoline,2,91673
Mercedes-Benz,S-Class,68812,Automatic,2016,28.01.23,16.11.23,Full,362,blue,Total,Convertible,Hybrid,5,9519
Mercedes-Benz,C-Class,195261,Automatic,2011,08.10.23,19.01.24,Full,385,black,None,Sedan,Hybrid,4,19503
Ford,Mustang,197697,Automatic,2010,20.11.22,06.02.24,Base,450,white,None,Coupe,Diesel,2,78365
Toyota,Camry,15488,Automatic,2002,01.04.23,20.12.23,Full,203,black,Low,Coupe,Electric,2,15948
Mercedes-Benz,E-Class,58676,Automatic,2020,16.11.22,23.01.24,Base,362,beige,Low,Van,Gasoline,4,85267
Ford,Explorer,83651,Automatic,2023,28.09.23,21.11.23,Base,300,beige,Medium,Convertible,Plug-in Hybrid,2,54557
Chevrolet,Equinox,129772,Automatic,2013,05.04.23,03.12.23,Advanced,252,white,None,Van,Gasoline,2,85171
Toyota,Corolla,189274,Automatic,2001,14.08.23,12.02.24,Luxe,139,beige,None,Coupe,Gasoline,2,55538
Toyota,Camry,85580,Automatic,2012,13.12.22,14.01.24,Luxe,301,beige,Low,Convertible,Gasoline,3,73218
Mercedes-Benz,S-Class,189022,Automatic,2003,07.07.23,19.01.24,Advanced,362,blue,Low,SUV,Diesel,3,74448
Toyota,Corolla,159499,Automatic,2011,29.05.23,08.02.24,Advanced,169,beige,None,Wagon,Electric,3,97668
Audi,A6,22126,Automatic,2000,31.05.23,13.01.24,Advanced,335,red,Medium,SUV,Plug-in Hybrid,1,29561
Toyota,Camry,45915,Automatic,2017,14.09.23,19.01.24,Full,208,white,Total,Convertible,Plug-in Hybrid,2,13619
Ford,F-150,199652,Automatic,2023,20.05.23,18.12.23,Advanced,400,white,Medium,Coupe,Electric,3,92870
Audi,A6,34914,Automatic,2019,25.06.23,16.01.24,Luxe,248,black,Low,SUV,Diesel,2,63255
Chevrolet,Malibu,36215,Automatic,2020,14.10.23,22.01.24,Advanced,182,silver,None,Truck,Plug-in Hybrid,2,100713
Chevrolet,Silverado,152478,Automatic,2020,03.05.23,13.12.23,Base,285,blue,None,Coupe,Gasoline,2,33407
Toyota,Camry,32892,Automatic,2017,02.08.23,13.12.23,Luxe,203,beige,Low,Wagon,Gasoline,2,7862
Ford,Explorer,175350,Automatic,2018,30.05.23,12.01.24,Advanced,300,black,Total,Coupe,Diesel,5,103936
BMW,3 Series,102054,Automatic,2001,18.07.23,21.11.23,Base,382,beige,Total,Van,Hybrid,1,11807
Ford,Explorer,127375,Automatic,2022,20.01.23,03.01.24,Luxe,300,white,Low,Truck,Diesel,4,96480
Ford,Fusion,180402,Automatic,2013,30.04.23,17.11.23,Full,325,white,None,Coupe,Plug-in Hybrid,1,97326
Audi,A6,31750,Manual,2016,12.12.22,22.12.23,Base,335,beige,Total,Truck,Plug-in Hybrid,1,60010
Mercedes-Benz,S-Class,106059,Automatic,2023,15.06.23,25.11.23,Advanced,362,silver,None,Van,Plug-in Hybrid,5,20512
Toyota,Corolla,45382,Automatic,2018,08.06.23,13.02.24,Luxe,139,silver,Total,SUV,Electric,3,50119
BMW,5 Series,19991,Automatic,2010,24.05.23,24.11.23,Luxe,335,black,Low,Sedan,Hybrid,1,114091
Ford,Mustang,188752,Automatic,2009,20.07.23,13.01.24,Full,450,red,Medium,Hatchback,Diesel,3,14474
Ford,Mustang,131585,Automatic,2012,07.12.22,30.01.24,Luxe,300,blue,None,Truck,Hybrid,5,6601
Ford,Mustang,78682,Automatic,2012,02.11.23,29.11.23,Base,450,blue,Low,Van,Electric,2,28727
BMW,X5,90795,Automatic,2017,21.09.23,27.12.23,Advanced,456,silver,Low,Sedan,Hybrid,4,90677
BMW,X3,194447,Automatic,2010,02.07.23,30.01.24,Luxe,248,beige,Total,Hatchback,Electric,4,89727
Toyota,RAV4,112911,Automatic,2013,03.06.23,30.01.24,Full,219,beige,Low,Coupe,Diesel,1,63795
Chevrolet,Silverado,137432,Automatic,2013,26.05.23,03.12.23,Full,355,silver,None,Van,Plug-in Hybrid,2,102567
Toyota,Camry,13571,Automatic,2006,06.12.22,17.11.23,Advanced,208,blue,Medium,Hatchback,Gasoline,4,78443
Ford,Explorer,50641,Automatic,2001,13.11.23,08.01.24,Luxe,290,black,Low,Sedan,Electric,5,52847
Mercedes-Benz,C-Class,80013,Automatic,2023,12.08.23,13.02.24,Luxe,385,black,None,Sedan,Electric,2,21850
Ford,Explorer,55447,Automatic,2021,05.10.23,29.11.23,Luxe,300,beige,Medium,Truck,Plug-in Hybrid,1,31329
BMW,3 Series,138651,Automatic,2006,25.09.23,22.12.23,Full,255,silver,Medium,Wagon,Plug-in Hybrid,5,83673
